sim,q,diff
V1,1,-0.128462046011165
V2,1,-0.155099185449252
V3,1,-0.092115372925754
V4,1,-0.208878958918191
V5,1,-0.216750679977565
V6,1,-0.210402858548854
V7,1,-0.14422809914128
V8,1,-0.16510301319996
V9,1,-0.19013092232025
V10,1,-0.183215825467812
V11,1,-0.161891405530142
V12,1,-0.184529692664668
V13,1,-0.180453216073758
V14,1,-0.0864804555415546
V15,1,-0.15153079641825
V16,1,-0.209117582971317
V17,1,-0.169721523051855
V18,1,-0.124363376226796
V19,1,-0.125225287321825
V20,1,-0.166567597681315
V21,1,-0.22060722704633
V22,1,-0.199415779255823
V23,1,-0.233981946682206
V24,1,-0.168568874635248
V25,1,-0.175289490494514
V26,1,-0.262913284545604
V27,1,-0.20481938392043
V28,1,-0.117389551565026
V29,1,-0.178510368827247
V30,1,-0.237361393301114
V31,1,-0.145922538974851
V32,1,-0.250867625887437
V33,1,-0.194573718029332
V34,1,-0.16482287139609
V35,1,-0.121109426676512
V36,1,-0.183959339449693
V37,1,-0.183840317396687
V38,1,-0.145003799519934
V39,1,-0.178770558341903
V40,1,-0.133012710414548
V41,1,-0.166126340627713
V42,1,-0.170883997422429
V43,1,-0.192416222034765
V44,1,-0.173305724498626
V45,1,-0.239867177026063
V46,1,-0.153036344897465
V47,1,-0.191761975731652
V48,1,-0.189088649098721
V49,1,-0.0879143868276273
V50,1,-0.0979935997519803
V51,1,-0.131121874230203
V52,1,-0.206374625863425
V53,1,-0.114918012114629
V54,1,-0.23647287559654
V55,1,-0.189734280548187
V56,1,-0.160257914024484
V57,1,-0.184772145531454
V58,1,-0.225099431547697
V59,1,-0.172381858032388
V60,1,-0.167945940553764
V61,1,-0.139854671824942
V62,1,-0.117564749671509
V63,1,-0.167244524839745
V64,1,-0.115109877408997
V65,1,-0.20538354191762
V66,1,-0.158135947606624
V67,1,-0.263533328699509
V68,1,-0.171892722898036
V69,1,-0.194430912123501
V70,1,-0.177386791683411
V71,1,-0.170982500665644
V72,1,-0.191743276184241
V73,1,-0.221353811153421
V74,1,-0.259589977445103
V75,1,-0.166243079199212
V76,1,-0.155138141053492
V77,1,-0.170685012973344
V78,1,-0.146468693158162
V79,1,-0.203121511652277
V80,1,-0.193392207257887
V81,1,-0.175467370831264
V82,1,-0.120110205319833
V83,1,-0.241521156158797
V84,1,-0.16613751172936
V85,1,-0.227637860301897
V86,1,-0.187156728351759
V87,1,-0.1913366796622
V88,1,-0.224730138975559
V89,1,-0.146305519843096
V90,1,-0.169721905144968
V91,1,-0.162951870028856
V92,1,-0.235697411551548
V93,1,-0.153140348103094
V94,1,-0.133376953479214
V95,1,-0.1970153311266
V96,1,-0.173258451628307
V97,1,-0.169089732421
V98,1,-0.106745294877094
V99,1,-0.137497061475919
V100,1,-0.218399451557673
V101,1,-0.226932573442731
V102,1,-0.170201367763369
V103,1,-0.162345518125065
V104,1,-0.128556613836196
V105,1,-0.0878193232587137
V106,1,-0.0668535124991649
V107,1,-0.196332255249892
V108,1,-0.178637420447764
V109,1,-0.173671051323623
V110,1,-0.104158741767961
V111,1,-0.209801199732929
V112,1,-0.180712683798681
V113,1,-0.135290600034267
V114,1,-0.262640765909921
V115,1,-0.189955252103438
V116,1,-0.203132985827736
V117,1,-0.148144909423074
V118,1,-0.156420430343687
V119,1,-0.203412097684065
V120,1,-0.196429434716727
V121,1,-0.178927822351582
V122,1,-0.219014580263
V123,1,-0.201245297824315
V124,1,-0.105649953326548
V125,1,-0.191254389425396
V126,1,-0.167792497958658
V127,1,-0.226345589294645
V128,1,-0.185869130994433
V129,1,-0.206881541953379
V130,1,-0.24165850713382
V131,1,-0.173350218695745
V132,1,-0.120752321132748
V133,1,-0.15241755881555
V134,1,-0.153442625443454
V135,1,-0.143253224407523
V136,1,-0.154484105388399
V137,1,-0.193021035688304
V138,1,-0.199467030392185
V139,1,-0.199506860565634
V140,1,-0.134852959684416
V141,1,-0.15623372494175
V142,1,-0.166298123749705
V143,1,-0.165631204970715
V144,1,-0.143550124140852
V145,1,-0.204112283634217
V146,1,-0.18109023344374
V147,1,-0.15055833043197
V148,1,-0.175054298710698
V149,1,-0.14088705257852
V150,1,-0.176896585117859
V151,1,-0.163934441947909
V152,1,-0.170032670240822
V153,1,-0.22756900763644
V154,1,-0.0996493679354202
V155,1,-0.229879178185087
V156,1,-0.164369315288113
V157,1,-0.167317001018638
V158,1,-0.223913224658297
V159,1,-0.175304979215895
V160,1,-0.265931824017265
V161,1,-0.200134916094726
V162,1,-0.185366767633312
V163,1,-0.134503781514823
V164,1,-0.195866406792575
V165,1,-0.143460128774038
V166,1,-0.232869025279022
V167,1,-0.146519763284381
V168,1,-0.231460497132431
V169,1,-0.151482782532504
V170,1,-0.142714575052651
V171,1,-0.178013424426489
V172,1,-0.16211250530629
V173,1,-0.239142163058844
V174,1,-0.12820247416542
V175,1,-0.172435687460819
V176,1,-0.196376585051652
V177,1,-0.216758820269177
V178,1,-0.15704637989942
V179,1,-0.171007842303105
V180,1,-0.22489048300298
V181,1,-0.212628996388752
V182,1,-0.173903755912669
V183,1,-0.0896832975312876
V184,1,-0.132794963075028
V185,1,-0.141096360187142
V186,1,-0.167582371254809
V187,1,-0.160818123224651
V188,1,-0.218391669987007
V189,1,-0.281210963788674
V190,1,-0.137850491634111
V191,1,-0.126343586306042
V192,1,-0.175310343280415
V193,1,-0.198360942997908
V194,1,-0.149666540361544
V195,1,-0.150280266035921
V196,1,-0.206209450430457
V197,1,-0.157636917260788
V198,1,-0.149082155667422
V199,1,-0.178743959727342
V200,1,-0.179737835228948
V201,1,-0.232519669585173
V202,1,-0.167918044787427
V203,1,-0.16580522560092
V204,1,-0.175059272213026
V205,1,-0.169791834739975
V206,1,-0.169951718057625
V207,1,-0.105819868067172
V208,1,-0.172025908056362
V209,1,-0.192737299765241
V210,1,-0.0601067620753852
V211,1,-0.204622179561859
V212,1,-0.235896302893977
V213,1,-0.213037542873757
V214,1,-0.214434902360466
V215,1,-0.117514347131284
V216,1,-0.13487470332295
V217,1,-0.141727792237099
V218,1,-0.197201570814755
V219,1,-0.213778577736036
V220,1,-0.1633256105575
V221,1,-0.226131460461538
V222,1,-0.139192008416188
V223,1,-0.172078775009361
V224,1,-0.125569275893945
V225,1,-0.143704947625999
V226,1,-0.111023280582174
V227,1,-0.215302141881551
V228,1,-0.180368550684214
V229,1,-0.207788930368174
V230,1,-0.192389828403051
V231,1,-0.131533824635106
V232,1,-0.19811176937349
V233,1,-0.239382107719806
V234,1,-0.141892884320171
V235,1,-0.134181655079423
V236,1,-0.207801409221887
V237,1,-0.244134501026451
V238,1,-0.139050906329231
V239,1,-0.149211871452231
V240,1,-0.0966106323829905
V241,1,-0.130804879697074
V242,1,-0.197774422092735
V243,1,-0.182168472979676
V244,1,-0.144300761037456
V245,1,-0.190855808379609
V246,1,-0.13798381204122
V247,1,-0.175380032019945
V248,1,-0.165328289275003
V249,1,-0.130601941424722
V250,1,-0.104002185408184
V251,1,-0.170439477587223
V252,1,-0.190051997823566
V253,1,-0.144743694550122
V254,1,-0.134239973041169
V255,1,-0.236494258425346
V256,1,-0.115918216004367
