q,fd
1,-0.540281132566804
1,-0.471715334208383
1,-0.443806465572472
1,-0.504379764591839
1,-0.514261566681682
1,-0.529694183017988
1,-0.510323585382324
1,-0.429765783634394
1,-0.454943387003802
1,-0.456526202107419
1,-0.483653971275686
1,-0.493527609969405
1,-0.525374170145973
1,-0.528575402558062
1,-0.464389153699813
1,-0.493178611371349
1,-0.514487579855775
1,-0.524815745114431
1,-0.475728082108176
1,-0.521718929261894
1,-0.434718187327086
1,-0.444654879801178
1,-0.512167569185024
1,-0.504720175397175
1,-0.503308234771637
1,-0.525450432985203
1,-0.493406192572735
1,-0.537279424948018
1,-0.506871716918738
1,-0.551022309634973
1,-0.537147194794599
1,-0.585804871532424
1,-0.453851530046926
1,-0.4527807912527
1,-0.50781756954872
1,-0.559802512209274
1,-0.577419185309232
1,-0.410382638365931
1,-0.500831772598275
1,-0.512022285325116
1,-0.548380537416435
1,-0.478187509026391
1,-0.433504045681566
1,-0.452746314778466
1,-0.413567693485511
1,-0.552101429937139
1,-0.537073414905052
1,-0.50877834680324
1,-0.506602224031539
1,-0.501981004730304
1,-0.496618785331606
1,-0.490374401223235
1,-0.480332502676959
1,-0.443441895417308
1,-0.498942250641697
1,-0.488210346250661
1,-0.540508701862706
1,-0.436164243284459
1,-0.455183073206477
1,-0.428272712193269
1,-0.465196621815522
1,-0.485769516283455
1,-0.536776376724092
1,-0.5062277655814
1,-0.450703590784379
1,-0.407065551496842
1,-0.473090126719299
1,-0.456901767625482
1,-0.49991082482579
1,-0.535624242815345
1,-0.471023460433933
1,-0.500760340892143
1,-0.51027313352779
1,-0.509226065944738
1,-0.462129826891122
1,-0.482563258501479
1,-0.494726254066137
1,-0.548813526219661
1,-0.437535875696106
1,-0.481992169578753
1,-0.517453952508333
1,-0.497505689221313
1,-0.422557229309511
1,-0.575787560154481
1,-0.532092705679958
1,-0.510316042914454
1,-0.441430810437865
1,-0.495441125813841
1,-0.551110250374215
1,-0.456631499556117
1,-0.451301896168125
1,-0.477028887857841
1,-0.452757792027853
1,-0.407127912656385
1,-0.524520986628076
1,-0.47540715460687
1,-0.409207351367861
1,-0.509728455303865
1,-0.485773461962097
1,-0.49026335685884
1,-0.502264249875651
1,-0.508484479566022
1,-0.44205990717915
1,-0.483595136773857
1,-0.488825707227669
1,-0.529006208090976
1,-0.479664861397666
1,-0.473224504002921
1,-0.519926129008589
1,-0.554211536509676
1,-0.480077619955523
1,-0.47487536315991
1,-0.437570813039528
1,-0.493796945700389
1,-0.473002720514359
1,-0.508653985363573
1,-0.502215658428483
1,-0.461680075089163
1,-0.488612999465275
1,-0.451469407114367
1,-0.460253626704606
1,-0.468142229634381
1,-0.496313007609835
1,-0.445114526113159
1,-0.472627932967711
1,-0.595939342602868
1,-0.436488905764335
1,-0.495181457201795
1,-0.483845410465335
1,-0.527322973068436
1,-0.457978442646748
1,-0.470597758665697
1,-0.535535171212025
1,-0.50693650657373
1,-0.509084673216194
1,-0.451556025255776
1,-0.416113682346897
1,-0.51151296987787
1,-0.423135367332719
1,-0.460392424140352
1,-0.539721064039185
1,-0.537898264515654
1,-0.464925517249775
1,-0.47181984335149
1,-0.501141201782176
1,-0.440417573709659
1,-0.575965014323451
1,-0.458514291302436
1,-0.466401742204887
1,-0.518743959340021
1,-0.471957778698624
1,-0.465133973349069
1,-0.464261313617996
1,-0.491845386702266
1,-0.479118529209771
1,-0.512134981300314
1,-0.499835442459599
1,-0.439748949534177
1,-0.448893921839499
1,-0.494679044119657
1,-0.491189131695734
1,-0.477493548043427
1,-0.471992594273786
1,-0.453041870900684
1,-0.559293376731041
1,-0.558955282944034
1,-0.48344750948052
1,-0.538490559598195
1,-0.437338028750041
1,-0.531385242107469
1,-0.427939556721022
1,-0.434060187910781
1,-0.461848942273214
1,-0.51967721669886
1,-0.506059245592368
1,-0.508058854755085
1,-0.506574946761162
1,-0.446915349699772
1,-0.470263389809645
1,-0.425575200241184
1,-0.478773179139452
1,-0.53053960147632
1,-0.47305012452064
1,-0.459552357199961
1,-0.397404734513621
1,-0.477648710534155
1,-0.519355694579922
1,-0.526106669721052
1,-0.542899092278759
1,-0.448058838944881
1,-0.529774639621522
1,-0.515385546533082
1,-0.498094673481234
1,-0.466214965139535
1,-0.448209940807004
1,-0.445966647530085
1,-0.586881452051237
1,-0.461560849142146
1,-0.470549066892389
1,-0.478872260291446
1,-0.447016055781994
1,-0.488446964905421
1,-0.54669307460015
1,-0.507598036859278
1,-0.4885274917958
1,-0.50658010148134
1,-0.461589745561604
1,-0.549721137957349
1,-0.481563181719018
1,-0.511548930771596
1,-0.511701606707078
1,-0.479272727833198
1,-0.503605067708875
1,-0.509005905255997
1,-0.426587035554945
1,-0.541532017071745
1,-0.475194814164745
1,-0.437356979673204
1,-0.495717074793106
1,-0.497946438533901
1,-0.51417837456529
1,-0.505901387670022
1,-0.446929708494736
1,-0.535868553049845
1,-0.496974886481091
1,-0.51699529125095
1,-0.475213335686952
1,-0.455775289394154
1,-0.431865288512924
1,-0.478712624933635
1,-0.447760856208511
1,-0.445850702379119
1,-0.551164377093357
1,-0.470688500341495
1,-0.509697777226421
1,-0.522662798381255
1,-0.447491130407236
1,-0.478306273662653
1,-0.479716696437848
1,-0.472832305396004
1,-0.497799049246126
1,-0.466059029840302
1,-0.46544684575094
1,-0.502703436435468
1,-0.529757589489847
1,-0.433859587393272
1,-0.471648455228376
1,-0.45453965445526
1,-0.531842606827055
1,-0.493335925546283
1,-0.43768769215523
1,-0.562228785093566
1,-0.493760969514518
1,-0.511769066058399
1,-0.458122452638698
1,-0.457934315907409
1,-0.519897488103396
1,-0.518567694348114
1,-0.520329311616514
1,-0.510688550540571
1,-0.494770046265423
1,-0.49207946533285
1,-0.497850394885589
1,-0.535941488120159
1,-0.420886129980453
1,-0.550992013712708
1,-0.43445966226723
1,-0.487362272973684
1,-0.364488407419437
1,-0.478401108362284
1,-0.440748529679162
1,-0.428537155031208
1,-0.539685784005648
1,-0.499664967487604
1,-0.495197520638833
1,-0.475594788617876
1,-0.475849663751838
1,-0.53587852160522
1,-0.441424601345872
1,-0.49092813190493
1,-0.479320311116531
1,-0.446977743687135
1,-0.520527485785436
1,-0.484125341286699
1,-0.454829981179053
1,-0.455315874095113
1,-0.491008956277945
1,-0.46219119106474
1,-0.472272284257308
1,-0.515323282141928
1,-0.526904236888882
1,-0.458874481802646
1,-0.567823005615914
1,-0.498405828732551
1,-0.447220297003234
1,-0.507371484415444
1,-0.455911460547107
1,-0.414659682418616
1,-0.490778935364119
1,-0.493898405168984
1,-0.523498491966812
1,-0.511978899223259
1,-0.482107779893966
1,-0.519302727115992
1,-0.493070568547495
1,-0.451928331224409
1,-0.505278933212338
1,-0.459560836514697
1,-0.429840035051143
1,-0.474443806633943
1,-0.477269190313471
1,-0.522047671503799
1,-0.488195670854246
1,-0.526344288166293
1,-0.478595897980739
1,-0.49837124784613
1,-0.359283334911993
1,-0.480091002919693
1,-0.44266176881716
1,-0.441966198195182
1,-0.490173339312356
1,-0.427730867716377
1,-0.448256755308599
1,-0.445744254990473
1,-0.427038745107716
1,-0.434580643257121
1,-0.432583474727664
1,-0.487630955989026
1,-0.433864933700278
1,-0.487185473679311
1,-0.481995920944137
1,-0.508687966277847
1,-0.439465806352196
1,-0.52773484059226
1,-0.466629507061114
1,-0.448923404840421
1,-0.516929571791224
1,-0.507288257883516
1,-0.436625788744124
1,-0.492186617161558
1,-0.532355052020712
1,-0.504406857015916
1,-0.490022372704488
1,-0.530667515969945
1,-0.478603248437899
1,-0.424685191559774
1,-0.476369885281322
1,-0.462776832089254
1,-0.534773197496598
1,-0.394238842099504
1,-0.501089837644734
1,-0.425469034643065
1,-0.457541655934215
1,-0.507224567976977
1,-0.40752165698769
1,-0.429533082450568
1,-0.420355863158676
1,-0.446779307472113
1,-0.402444194901506
1,-0.499754920834555
1,-0.421661705195795
1,-0.479759728638094
1,-0.461488312736265
1,-0.461460838648932
1,-0.463157637954048
1,-0.502429303433239
1,-0.503459313074295
1,-0.461476499289788
1,-0.448778892820251
1,-0.567200151397437
1,-0.481471534310046
1,-0.530065731242118
1,-0.482032048355244
1,-0.494343696162268
1,-0.447521493614637
1,-0.466300228853541
1,-0.458500830374099
1,-0.532714588303847
1,-0.479177963004993
1,-0.492912483491566
1,-0.425427405233485
1,-0.508402649175821
1,-0.564549823151481
1,-0.508105598980606
1,-0.422373914243806
1,-0.552709737208318
1,-0.512431323443735
1,-0.470290033699094
1,-0.455606364537594
1,-0.508653989909313
1,-0.466797366121256
1,-0.418665369231583
1,-0.495565306206387
1,-0.555392220945883
1,-0.445395029125969
1,-0.438570672147442
1,-0.443603756478097
1,-0.46763545427973
1,-0.548002183402922
1,-0.534395679752521
1,-0.496556674921173
1,-0.510652566009831
1,-0.428789575332971
1,-0.459234067204555
1,-0.486568191152159
1,-0.475949289376736
1,-0.509331110567459
1,-0.568791545118216
1,-0.497323675059441
1,-0.483445116467706
1,-0.501560576547959
1,-0.396233339511376
1,-0.39905130628032
1,-0.486528563447735
1,-0.458821780365064
1,-0.465856973471894
1,-0.439237008822424
1,-0.517014073654451
1,-0.462199705046494
1,-0.527126065988149
1,-0.482166181170932
1,-0.54936535137054
1,-0.5090083754381
1,-0.479557230169206
1,-0.496203211918875
1,-0.448227239735225
1,-0.495605152401389
1,-0.458527963013154
1,-0.444428508548533
1,-0.533610446569732
1,-0.471412050321675
1,-0.524140926813594
1,-0.45724475329046
1,-0.518250180021681
1,-0.50761061517732
1,-0.477732559681563
1,-0.405295840285881
1,-0.457180068732562
1,-0.41978377188903
1,-0.550281037924862
1,-0.405896774913131
1,-0.46085780359109
1,-0.440189394904721
1,-0.496408145725276
1,-0.480934451675175
1,-0.484125606326607
1,-0.492093379468344
1,-0.453636119029198
1,-0.408619950641629
1,-0.47433075747977
1,-0.472641230873883
1,-0.479244688545002
1,-0.486359860067054
1,-0.445950065506594
1,-0.528334821805949
1,-0.492116004737831
1,-0.450461345328122
1,-0.447918750064218
1,-0.504724127373748
1,-0.419544697806046
1,-0.447526364691377
1,-0.469344371514858
1,-0.436697033461819
1,-0.451182182435133
1,-0.548999721841859
1,-0.438300311702641
1,-0.420086979986614
1,-0.448267205221839
1,-0.454146665953743
1,-0.472037806261852
1,-0.495088615142002
1,-0.512477691358285
1,-0.481232162611086
1,-0.426564007334861
1,-0.411226042918827
1,-0.484908411084376
1,-0.413566668380987
1,-0.520084807071179
1,-0.505266021353748
1,-0.541040766704931
1,-0.476182895494347
1,-0.461120375553499
1,-0.464193863889101
1,-0.494399481591877
1,-0.507844760244765
1,-0.48603089894894
1,-0.529307398048488
1,-0.448625722403762
1,-0.499173952765844
1,-0.480829871618163
1,-0.558118982214374
1,-0.456957513508193
1,-0.49257886281012
1,-0.559494514684722
1,-0.46978467124265
1,-0.477292422765466
1,-0.42248592487956
1,-0.497321840124847
1,-0.437072725497941
1,-0.494369918614261
1,-0.52663453665577
1,-0.474931250641745
1,-0.501836040591257
1,-0.457338339048221
1,-0.540520526281568
1,-0.453044003977233
1,-0.406756881021764
1,-0.477260430076761
1,-0.427495100773513
1,-0.463058879686635
1,-0.469027335555829
1,-0.508879172424976
1,-0.432929805734169
1,-0.445149595566448
1,-0.509184340374802
1,-0.482226513127166
1,-0.482436807346083
1,-0.48998882219184
1,-0.467365987858408
1,-0.464339227957737
1,-0.550942145318253
1,-0.456540479948409
1,-0.514270321035845
1,-0.498518716090814
1,-0.521723117510319
1,-0.506778962881356
1,-0.456359951862339
1,-0.476756144607613
1,-0.492114051754562
1,-0.530118152195179
1,-0.459687689710442
1,-0.500538722678385
1,-0.557357668980359
1,-0.512753304699537
1,-0.437415843948713
1,-0.439627285244299
1,-0.53384486283656
1,-0.486041234208891
1,-0.454859730080862
1,-0.543039881422047
1,-0.504747677215946
1,-0.487607135735438
1,-0.51346125570646
1,-0.499933416759063
1,-0.583511906572589
1,-0.450103611341639
1,-0.512302261945351
1,-0.495036362546102
1,-0.502065800757805
1,-0.492825789473784
1,-0.521572104420002
1,-0.471069299723212
1,-0.501329365855902
1,-0.520135336833825
1,-0.445789370337593
1,-0.47088567667965
1,-0.474700317600195
1,-0.460173454125467
1,-0.439784364030182
1,-0.490925927901863
1,-0.463183889823846
1,-0.509798562786941
1,-0.486912922386281
1,-0.541713215227304
1,-0.470615772906974
1,-0.484196124763336
1,-0.547233744883158
1,-0.516189452837146
1,-0.552777259618537
1,-0.427334924391467
1,-0.420651085850572
1,-0.426014247638356
1,-0.41667050760212
1,-0.507069174019449
1,-0.452247637443904
1,-0.486995581951788
1,-0.439241650447102
1,-0.489632154415887
1,-0.454939520341718
1,-0.420122514564966
1,-0.468516009718854
1,-0.494450685750223
