sim,q,diff
V1,1,-0.55373750896463
V2,1,-0.464262082722364
V3,1,-0.543255056222833
V4,1,-0.508628200882889
V5,1,-0.548896599886334
V6,1,-0.474760782897022
V7,1,-0.5158649491893
V8,1,-0.492661631000367
V9,1,-0.435750942459009
V10,1,-0.544181814626796
V11,1,-0.519388273055881
V12,1,-0.481933331922079
V13,1,-0.502076524804934
V14,1,-0.555874807748786
V15,1,-0.451784693946429
V16,1,-0.520580992529233
V17,1,-0.498442178546924
V18,1,-0.479159946794162
V19,1,-0.464169259867894
V20,1,-0.553371499509233
V21,1,-0.437756189261606
V22,1,-0.497292809198086
V23,1,-0.54980590114846
V24,1,-0.550511062035298
V25,1,-0.433447889318707
V26,1,-0.495755956531859
V27,1,-0.567237368242623
V28,1,-0.524597154664413
V29,1,-0.487442538227086
V30,1,-0.477517582156821
V31,1,-0.502455628083986
V32,1,-0.566005298223885
V33,1,-0.533855136760892
V34,1,-0.517348525787163
V35,1,-0.552262348897749
V36,1,-0.455117460672774
V37,1,-0.515735907340897
V38,1,-0.501502790429541
V39,1,-0.527444149308941
V40,1,-0.502233059456323
V41,1,-0.475836029742965
V42,1,-0.542780420012925
V43,1,-0.512435642862457
V44,1,-0.510505523174309
V45,1,-0.491862254354501
V46,1,-0.532898369368716
V47,1,-0.522971745751967
V48,1,-0.487739540322046
V49,1,-0.539927941259286
V50,1,-0.486957917106331
V51,1,-0.495886020745417
V52,1,-0.519243342465288
V53,1,-0.524000472670224
V54,1,-0.46529503490607
V55,1,-0.540834350690297
V56,1,-0.562550006532383
V57,1,-0.55500249705289
V58,1,-0.583133698092787
V59,1,-0.435303060558923
V60,1,-0.445426492367979
V61,1,-0.502934283712122
V62,1,-0.467923494023374
V63,1,-0.466853179903936
V64,1,-0.54163293492288
V65,1,-0.429879157866225
V66,1,-0.42501387320732
V67,1,-0.559045235619301
V68,1,-0.471065476983263
V69,1,-0.459463403006815
V70,1,-0.572234147884771
V71,1,-0.527824660607337
V72,1,-0.478976644643758
V73,1,-0.511286216456547
V74,1,-0.477370129955304
V75,1,-0.509709578508513
V76,1,-0.564804124897727
V77,1,-0.536645289843747
V78,1,-0.535846144844641
V79,1,-0.581035548153501
V80,1,-0.537409237669969
V81,1,-0.503454077452226
V82,1,-0.521946201599008
V83,1,-0.504359043684481
V84,1,-0.48571476073662
V85,1,-0.477473816781014
V86,1,-0.483955110677009
V87,1,-0.484792882827307
V88,1,-0.471233856467514
V89,1,-0.524270073092396
V90,1,-0.589793664137481
V91,1,-0.559115731373069
V92,1,-0.496992886430085
V93,1,-0.513791535143703
V94,1,-0.51717937974211
V95,1,-0.477311410063997
V96,1,-0.479858421720081
V97,1,-0.502651375183156
V98,1,-0.501612316205403
V99,1,-0.535391511315524
V100,1,-0.522055747056413
V101,1,-0.417009167938609
V102,1,-0.517760477870873
V103,1,-0.50985936005587
V104,1,-0.450186599557412
V105,1,-0.428544362875918
V106,1,-0.560561802406305
V107,1,-0.503767228862095
V108,1,-0.483019011851319
V109,1,-0.496859039601716
V110,1,-0.590141090958824
V111,1,-0.459269590127455
V112,1,-0.514068234375586
V113,1,-0.505313179538533
V114,1,-0.499229198483782
V115,1,-0.520317550447324
V116,1,-0.576865304636073
V117,1,-0.489564803632867
V118,1,-0.511841858759084
V119,1,-0.458252829830258
V120,1,-0.500450657709934
V121,1,-0.570266080228549
V122,1,-0.609516027826203
V123,1,-0.490652265237706
V124,1,-0.529502164274653
V125,1,-0.501985364212608
V126,1,-0.543933289810774
V127,1,-0.46561199498548
V128,1,-0.497595505795196
V129,1,-0.567065112023713
V130,1,-0.445493815788495
V131,1,-0.462429731886303
V132,1,-0.46113566137651
V133,1,-0.551498725021865
V134,1,-0.539217314180995
V135,1,-0.501669665942465
V136,1,-0.456788636952894
V137,1,-0.530963452926287
V138,1,-0.479073933863425
V139,1,-0.502354299093291
V140,1,-0.523743286532458
V141,1,-0.424263991081887
V142,1,-0.459175504743627
V143,1,-0.505302728652517
V144,1,-0.5696618858995
V145,1,-0.474859206995156
V146,1,-0.517261350692493
V147,1,-0.430195992106114
V148,1,-0.496176422998708
V149,1,-0.471131705015907
V150,1,-0.479555455467988
V151,1,-0.490886054942337
V152,1,-0.513984800570583
V153,1,-0.567351895543524
V154,1,-0.493526221313282
V155,1,-0.528929729071137
V156,1,-0.461572402320925
V157,1,-0.457293240077931
V158,1,-0.485354558987261
V159,1,-0.530114624517879
V160,1,-0.461815161989257
V161,1,-0.423851100971866
V162,1,-0.459670018821811
V163,1,-0.477470818995791
V164,1,-0.545996986980363
V165,1,-0.484805264952826
V166,1,-0.504250648137429
V167,1,-0.545341550027118
V168,1,-0.512637765327597
V169,1,-0.511645185139606
V170,1,-0.499381241145585
V171,1,-0.551487228450341
V172,1,-0.522051005358883
V173,1,-0.501964288686139
V174,1,-0.493952746750821
V175,1,-0.485685884986076
V176,1,-0.503595711801516
V177,1,-0.506490317928247
V178,1,-0.521357536723428
V179,1,-0.522459033219164
V180,1,-0.532665364275587
V181,1,-0.573683425166031
V182,1,-0.458734875153645
V183,1,-0.502569909453086
V184,1,-0.581663177340509
V185,1,-0.493946708747728
V186,1,-0.487598221138804
V187,1,-0.61766789008847
V188,1,-0.522691655428368
V189,1,-0.492714117144736
V190,1,-0.473722995491443
V191,1,-0.466176803194209
V192,1,-0.488477299553516
V193,1,-0.581708561194667
V194,1,-0.537890091052994
V195,1,-0.552674645267274
V196,1,-0.536647385541272
V197,1,-0.505707832820555
V198,1,-0.507875875416914
V199,1,-0.584242786662159
V200,1,-0.463297876307252
V201,1,-0.536695005346708
V202,1,-0.540283132766398
V203,1,-0.453357277915032
