county,county_name,stateabbrv,statename,z_relative_mob,z_gini,log_population,log_income,z_segregation_income,log_unemployment,z_uninsured,z_medicare_expenses,log_crime_rate,log_pct_black,log_pct_hispanic,z_obesity,z_smoking,z_exercise
1001,Autauga,AL,Alabama,1.6490898132324219,0.015139367431402206,0.45711828869123927,0.06613636016845703,0.3456239402294159,-0.23250089484714742,-0.880547046661377,0.12884072220655476,0.5937475363168101,2.3712262850831918,-0.5338895904121117,0.004903790540993214,0.1395208239555359,-1.0745158195495605
1003,Baldwin,AL,Alabama,-0.10865612328052521,1.284513235092163,1.6250363459324237,0.19785118103027344,0.2184857875108719,-0.1871810992386269,0.10160937160253525,0.20917372417597227,0.3555907408151011,1.8622891646455697,-0.3049139665660576,-0.7214014530181885,0.11312207579612732,0.27371305227279663
1005,Barbour,AL,Alabama,1.8261408805847168,1.2949039936065674,0.0490393395021016,-0.28191184997558594,-0.13804122805595398,0.36782206696010356,-0.0007460401975549757,0.29827179464050674,0.4055318037423472,3.366986964328187,-0.36965891590687794,1.8643089532852173,-0.3154170513153076,-1.26494562625885
1007,Bibb,AL,Alabama,2.2179324626922607,0.4444468915462494,-0.28336377145168967,-0.2553529739379883,-0.2760867476463318,0.26768006485439066,-0.14312152564525604,1.235059455404198,-0.13487108550936178,2.6290235262941293,-0.8597588433173613,0.6387339234352112,0.1689700037240982,-1.860194206237793
1009,Blount,AL,Alabama,-0.15958021581172943,-0.5276382565498352,0.6127301327083075,-0.06249523162841797,-0.40975305438041687,-0.3617554743912148,0.1365482360124588,0.5942279663717911,-0.9395304521170278,-0.3038068372179099,0.8046913457813545,1.070294737815857,0.944062352180481,-1.282127022743225
1011,Bullock,AL,Alabama,-0.3286830186843872,0.9658279418945312,-0.8587812698918036,-0.5762672424316406,-0.15237106382846832,0.6552215973708702,-0.4073953330516815,0.17784683514629582,-0.49183042846590475,3.8202867251466683,0.14310255774882275,,,
1013,Butler,AL,Alabama,1.3848963975906372,1.3902864456176758,-0.25622178559538256,-0.053813934326171875,-0.06273411214351654,0.3746782700393272,-0.2547829747200012,0.8270023438693176,-0.11018761001497701,3.2392937880586556,-1.2711638497409539,2.018000364303589,-1.068110466003418,-1.3070402145385742
1015,Calhoun,AL,Alabama,0.8186835646629333,0.60312420129776,1.4011536403373182,-0.013772010803222656,0.9071335196495056,0.06120456856227641,-0.43758466839790344,1.4103359774865587,0.5305637518319468,2.453274939639466,-0.4222999202308373,0.009255431592464447,0.498555064201355,-0.4719007909297943
1017,Chambers,AL,Alabama,1.2571322917938232,0.49779966473579407,0.2800176740689544,-0.10846805572509766,-0.621813952922821,0.04696096580959086,0.05433625355362892,-0.0920812451643376,0.2957872549447398,3.172942612750428,-1.1354582892951683,2.165752649307251,-0.14319047331809998,-0.9154780507087708
1019,Cherokee,AL,Alabama,0.36575788259506226,0.3021276891231537,-0.1420122722531314,-0.11109161376953125,-0.6633701324462891,-0.13031540709995504,0.04673067107796669,0.9514402262890032,-0.3083239396658559,1.2480209809373788,-1.0300979899463372,0.9754125475883484,-0.3231748640537262,-1.5379936695098877
1021,Chilton,AL,Alabama,1.276824712753296,0.14235161244869232,0.3590863573990255,-0.12322616577148438,-0.6264501214027405,-0.07709346610569234,0.2650386393070221,0.8394014060353361,0.02649156250089213,1.8825211268495492,0.19993832835581737,1.0975899696350098,-0.36517131328582764,-1.144273281097412
1023,Choctaw,AL,Alabama,1.4608464241027832,1.0522191524505615,-0.551864176893007,-0.14901256561279297,-0.5304954051971436,0.3198689381454063,-0.11101378500461578,0.49551378957809983,-0.720785697325768,3.3187169772218637,-1.2655372606811242,1.1205265522003174,-0.7235990166664124,-0.3817210793495178
1025,Clarke,AL,Alabama,1.3661212921142578,0.9872379899024963,0.00787721551409959,-0.13649940490722656,-0.4539436101913452,0.6383837620589805,-0.3368586599826813,0.4924326599015735,0.3584694067391734,3.2932605486940316,-1.305150597005816,1.4508897066116333,-2.056004047393799,-0.7096509337425232
1027,Clay,AL,Alabama,0.48288872838020325,0.0619126558303833,-0.6625284084797158,-0.19587039947509766,-0.7031688094139099,0.15907944839931254,0.046491216868162155,0.9431534783283471,-0.4071808656302114,2.2826728564332894,-0.2943122672137932,1.6069236993789673,0.7553035020828247,-2.237137794494629
1029,Cleburne,AL,Alabama,0.20554481446743011,-0.958504319190979,-0.6717613034724668,-0.16037750244140625,-0.7590203285217285,0.010900394139058633,-0.1610322892665863,0.5405007676373732,-0.28243501983553365,0.8428438645433358,-0.5302019404468254,-0.9660225510597229,-0.14319047331809998,-0.6966642737388611
1031,Coffee,AL,Alabama,0.6052634119987488,0.8079406023025513,0.4558351503257878,0.05386829376220703,1.27399742603302,0.1788810650680137,-0.0722610279917717,-0.02196690915839701,0.3404540220651011,2.44042465506305,0.12974342831995922,0.4960658848285675,-0.17978070676326752,-0.11311738938093185
1033,Colbert,AL,Alabama,1.1842247247695923,0.535365104675293,0.6874762562599095,0.029572486877441406,0.12358836084604263,0.2823211113784385,-0.6921789050102234,0.751390427694577,-0.6055804093924184,2.343446467502015,-0.7512180047330574,1.665464997291565,0.36907291412353516,-1.3204554319381714
1035,Conecuh,AL,Alabama,1.0927631855010986,1.2027008533477783,-0.6741716264882545,-0.2342967987060547,-0.41683489084243774,0.3455199162337852,0.02081124112010002,1.4832146334643828,0.030130306855140176,3.304071877581971,-1.191085814147921,-1.3163566589355469,0.9937846064567566,-1.1879425048828125
