iteration,replicate,date,id,generation,time,age,income_type,income,nkids,smoker,smoker30,nmoves,county,county_avg_income,county_gini,county_income_mobility
2,2,2020-09-25 at 11:18:01 CEST,849,0,21.835499246269723,21.0,2,35451.33311411147,0,false,false,0,8467,44089.812241883126,0.0,0.8815185824601688
2,2,2020-09-25 at 11:18:01 CEST,623,0,21.877275975341824,21.0,1,9554.160730704738,1,false,false,0,8465,43853.41820348739,0.0,0.8794412381179127
2,2,2020-09-25 at 11:18:01 CEST,1023,0,22.011648986117088,21.0,3,102335.09136827629,0,false,false,0,8469,45821.88505858055,0.0,0.8874272637652995
2,2,2020-09-25 at 11:18:01 CEST,1372,0,22.412506348864092,22.0,3,108789.43190158345,0,false,false,0,8472,48050.42041497002,0.0,0.8839180652256384
2,2,2020-09-25 at 11:18:01 CEST,994,0,22.78764335535891,22.0,3,100675.24002688123,0,false,false,0,8468,47417.439510456126,0.0,0.8862379972524627
2,2,2020-09-25 at 11:18:01 CEST,1781,0,23.992173016036702,23.0,1,9586.381882918737,0,true,false,2,8484,51203.614409835565,0.0,0.8895850980548728
2,2,2020-09-25 at 11:18:01 CEST,1807,0,24.205430973652433,24.0,3,105785.72383908993,0,false,false,1,8480,45002.447312746,0.0,0.8758242268612455
2,2,2020-09-25 at 11:18:01 CEST,1204,0,24.704534737483293,24.0,1,19963.289086677272,1,true,false,1,8473,44311.7985075872,0.0,0.8705217546834225
2,2,2020-09-25 at 11:18:01 CEST,1382,0,25.663618971776174,25.0,2,37322.31225889139,1,false,false,0,8472,47754.43195534751,0.0,0.8839180652256384
2,2,2020-09-25 at 11:18:01 CEST,4798,1,26.543592498984598,0.0,1,9257.175699683488,0,false,false,0,8460,51347.43525299692,0.0,0.8641609931395302
2,2,2020-09-25 at 11:18:01 CEST,2163,0,26.670231108646654,26.0,2,42283.834463469066,0,false,false,0,8480,44765.98617064714,0.0,0.8758242268612455
2,2,2020-09-25 at 11:18:01 CEST,1340,0,26.673148345893157,26.0,1,7924.968295434775,1,false,false,0,8472,47853.829360458745,0.0,0.8839180652256384
2,2,2020-09-25 at 11:18:01 CEST,2230,0,26.815842051986355,26.0,1,1652.9803489519002,0,false,false,0,8481,45659.23430673017,0.0,0.8826866013970813
2,2,2020-09-25 at 11:18:01 CEST,1492,0,26.980723098869447,26.0,1,7441.402825955512,0,false,false,1,8464,49118.21057790908,0.0,0.8858007880408609
2,2,2020-09-25 at 11:18:01 CEST,1494,0,27.136216556819292,27.0,3,102847.61267343439,0,false,false,0,8473,44478.890258275744,0.0,0.8705217546834225
2,2,2020-09-25 at 11:18:01 CEST,2714,0,27.23365007406632,27.0,2,34374.83555685572,0,false,false,0,8486,56881.33030065377,0.0,0.8486907812759873
2,2,2020-09-25 at 11:18:01 CEST,1328,0,27.672878288920575,27.0,1,6751.301483618257,0,false,false,0,8472,48040.33893535669,0.0,0.8839180652256384
2,2,2020-09-25 at 11:18:01 CEST,869,0,27.90785490404344,27.0,2,40665.810159665896,0,false,false,0,8467,44183.247020651805,0.0,0.8815185824601688
2,2,2020-09-25 at 11:18:01 CEST,1584,0,28.04650615575106,27.0,2,28956.12090936903,1,false,false,0,8474,49181.31400971701,0.0,0.9000035755534946
2,2,2020-09-25 at 11:18:01 CEST,5129,1,28.096661647196285,0.0,1,10505.037384400859,0,false,false,0,8483,50794.64108438245,0.0,0.8699144487786198
2,2,2020-09-25 at 11:18:01 CEST,5314,1,28.495239416013202,0.0,3,91723.0980075316,0,false,false,0,8487,45064.63842515896,0.0,0.8727091774216468
2,2,2020-09-25 at 11:18:01 CEST,2705,0,28.79798305070487,28.0,2,29756.478125016838,1,false,false,1,8475,53236.31286247771,0.0,0.88468956550352
2,2,2020-09-25 at 11:18:01 CEST,5495,1,28.88828590931136,0.0,2,34886.13405316217,0,false,false,0,8479,43450.00032290934,0.0,0.8772918357653393
2,2,2020-09-25 at 11:18:01 CEST,5618,1,29.084609158455223,0.0,2,30046.805842385424,0,false,false,0,8482,45483.08397996454,0.0,0.889410539853318
2,2,2020-09-25 at 11:18:01 CEST,5686,1,29.09404365707869,0.0,1,10940.903458827865,0,false,false,0,8473,44175.977046525906,0.0,0.8705217546834225
2,2,2020-09-25 at 11:18:01 CEST,1707,0,29.122263098428785,28.0,3,102160.78906065488,0,true,false,0,8476,41136.253922761796,0.0,0.859523295425815
2,2,2020-09-25 at 11:18:01 CEST,1625,0,29.189492288629204,28.0,3,107998.58420312866,2,false,false,0,8475,53301.430906939,0.0,0.88468956550352
2,2,2020-09-25 at 11:18:01 CEST,85,0,29.74639341264942,29.0,1,4322.965703507231,0,false,false,1,8473,44175.977046525906,0.0,0.8705217546834225
2,2,2020-09-25 at 11:18:01 CEST,1740,0,29.906988087395842,29.0,1,9768.28386909665,1,false,false,0,8476,41136.253922761796,0.0,0.859523295425815
2,2,2020-09-25 at 11:18:01 CEST,5935,1,30.255448397295503,0.0,2,25572.231690294226,0,false,false,0,8471,48672.57554536858,0.0,0.8806637155371541
2,2,2020-09-25 at 11:18:01 CEST,1098,0,30.29638881520675,30.0,2,28546.968016307444,1,false,false,0,8469,45594.48985776032,0.0,0.8864421707643566
2,2,2020-09-25 at 11:18:01 CEST,5967,1,30.551611879960724,0.0,1,7844.582935163166,0,false,false,0,8476,40996.47887035222,0.0,0.8587436151788651
2,2,2020-09-25 at 11:18:01 CEST,5947,1,30.58714155099387,0.0,2,28751.49896059847,0,false,false,0,8486,56966.779982440356,0.0,0.8482966709078738
2,2,2020-09-25 at 11:18:01 CEST,5991,1,30.80423183411365,0.0,1,3749.9619165138797,0,false,false,0,8460,51347.43525299692,0.0,0.8641609931395302
2,2,2020-09-25 at 11:18:01 CEST,649,0,31.321792342196805,31.0,1,19667.351996393532,0,false,false,0,8465,43998.912029657244,0.0,0.8812001781144582
2,2,2020-09-25 at 11:18:01 CEST,4780,1,31.486014831278485,4.0,1,3228.8133524214445,0,false,false,0,8480,44854.20296351964,0.0,0.8749965613547472
2,2,2020-09-25 at 11:18:01 CEST,2493,0,31.703676439216935,31.0,3,109065.35435804685,0,true,true,0,8483,50794.64108438245,0.0,0.8699144487786198
2,2,2020-09-25 at 11:18:01 CEST,1731,0,31.898815529885674,31.0,1,1410.2222341771653,0,false,false,0,8476,40996.47887035222,0.0,0.8587436151788651
2,2,2020-09-25 at 11:18:01 CEST,658,0,31.95471728846855,31.0,3,107253.36352353878,1,false,false,0,8465,43998.912029657244,0.0,0.8812001781144582
2,2,2020-09-25 at 11:18:01 CEST,2979,0,32.04325068470109,31.0,3,95536.48807851695,0,false,false,1,8479,43450.00032290934,0.0,0.8761136235076988
