iteration,replicate,date,id,generation,time,age,income_type,income,nkids,smoker,smoker30,nmoves,county,county_avg_income,county_gini,county_income_mobility
3,2,2020-09-25 at 11:18:08 CEST,2909,0,0.06463400377060104,0.0,2,0.0,0,false,false,0,9053,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2831,0,0.07453590930625309,0.0,3,0.0,0,false,false,0,9052,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,955,0,0.12086567651276922,0.0,3,0.0,0,false,false,0,9033,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1152,0,0.12239071145505755,0.0,3,0.0,0,false,false,0,9035,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2007,0,0.2037593767372613,0.0,1,0.0,0,false,false,0,9044,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2219,0,0.2489200420897013,0.0,3,0.0,0,false,false,0,9046,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2390,0,0.24941097301470624,0.0,3,0.0,0,false,false,0,9047,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1052,0,0.2692111607844106,0.0,3,0.0,0,false,false,0,9034,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2303,0,0.2774993940379899,0.0,1,0.0,0,false,false,0,9047,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2253,0,0.2911213102413767,0.0,1,0.0,0,false,false,0,9046,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2896,0,0.5467103360053243,0.0,1,0.0,0,false,false,0,9052,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1336,0,0.5584764616121052,0.0,3,0.0,0,false,false,0,9037,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2086,0,0.6540258049190644,0.0,3,0.0,0,false,false,0,9044,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1767,0,0.6585894264694926,0.0,2,0.0,0,false,false,0,9041,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,725,0,0.6939108736299389,0.0,2,0.0,0,false,false,0,9031,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1969,0,0.9346895346649596,0.0,3,0.0,0,false,false,0,9043,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,119,0,1.049506553919295,0.0,1,0.0,0,false,false,0,9025,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2536,0,1.1254699511059991,0.0,1,0.0,0,false,false,0,9049,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1013,0,1.1255457186878992,0.0,2,0.0,0,false,false,0,9034,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2787,0,1.190605084782881,0.0,1,0.0,0,false,false,0,9051,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,240,0,1.4546974954910594,1.0,2,0.0,0,false,false,0,9026,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2102,0,4.605290605701716,4.0,1,0.0,0,false,false,0,9045,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,2509,0,4.829801286154943,4.0,1,0.0,0,false,false,0,9049,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1286,0,7.110303117020561,6.0,2,0.0,0,false,false,0,9036,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1887,0,8.172479434818769,7.0,3,0.0,0,false,false,0,9042,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,454,0,12.572086930571428,11.0,3,0.0,0,false,false,0,9028,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1933,0,15.203245423746244,14.0,3,0.0,0,false,false,0,9043,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1326,0,15.346143764272398,14.0,3,0.0,0,false,false,0,9037,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1509,0,16.01341217814825,15.0,2,0.0,0,false,false,0,9039,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1611,0,16.432003192849887,16.0,3,0.0,0,false,false,0,9040,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,3017,1,16.648485418024755,0.0,3,0.0,0,false,false,0,9044,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,1700,0,16.722463885559094,16.0,3,0.0,0,false,false,0,9041,0.0,0.0,0.0
3,2,2020-09-25 at 11:18:08 CEST,227,0,17.195002218215148,16.0,3,0.0,0,false,false,0,9026,0.0,0.0,0.0
