iteration,replicate,time,id,age,generation,county,average_income,income_mobility,gini
2,2,10.464778153924987,3000,0.0,1,8464,0.0,0.0,0.0
2,2,13.465407284509164,3001,0.0,1,8480,0.0,0.0,0.0
2,2,15.630446358685042,3002,0.0,1,8461,0.0,0.0,0.0
2,2,15.632650141406662,3003,0.0,1,8471,0.0,0.0,0.0
2,2,15.667357717716722,3004,0.0,1,8482,0.0,0.0,0.0
2,2,15.709812289980823,3005,0.0,1,8485,0.0,0.0,0.0
2,2,15.729089178233338,3006,0.0,1,8486,0.0,0.0,0.0
2,2,15.742718523719928,3007,0.0,1,8468,0.0,0.0,0.0
2,2,15.763265310627371,3008,0.0,1,8466,0.0,0.0,0.0
2,2,15.797130631796687,3009,0.0,1,8480,0.0,0.0,0.0
2,2,15.861970195038793,3010,0.0,1,8467,0.0,0.0,0.0
2,2,15.890489686058423,3011,0.0,1,8475,0.0,0.0,0.0
2,2,15.921071111050995,3012,0.0,1,8473,0.0,0.0,0.0
2,2,15.944591516529451,3013,0.0,1,8472,0.0,0.0,0.0
2,2,15.980432102065715,3014,0.0,1,8463,0.0,0.0,0.0
2,2,15.995726947743426,3015,0.0,1,8463,0.0,0.0,0.0
2,2,16.070380472083258,3016,0.0,1,8481,0.0,0.0,0.0
2,2,16.15181705564054,3017,0.0,1,8462,0.0,0.0,0.0
2,2,16.160129927670333,3018,0.0,1,8468,0.0,0.0,0.0
2,2,16.178719673646366,3019,0.0,1,8484,0.0,0.0,0.0
2,2,16.199122899421493,3020,0.0,1,8481,0.0,0.0,0.0
2,2,16.213207511795,3021,0.0,1,8468,0.0,0.0,0.0
2,2,16.221720496088555,3022,0.0,1,8481,0.0,0.0,0.0
2,2,16.288183976849954,3023,0.0,1,8480,0.0,0.0,0.0
2,2,16.301433495087725,3025,0.0,1,8468,0.0,0.0,0.0
2,2,16.347444338614917,3027,0.0,1,8467,0.0,0.0,0.0
2,2,16.357355431267795,3029,0.0,1,8465,0.0,0.0,0.0
2,2,16.370274617815905,3031,0.0,1,8469,0.0,0.0,0.0
2,2,16.482501694517612,3033,0.0,1,8488,0.0,0.0,0.0
2,2,16.54770014216165,3035,0.0,1,8462,0.0,0.0,0.0
2,2,16.560630337338246,3037,0.0,1,8471,0.0,0.0,0.0
2,2,16.58792511805001,3039,0.0,1,8472,0.0,0.0,0.0
2,2,16.62066550800047,3041,0.0,1,8486,0.0,0.0,0.0
2,2,16.62123943391164,3043,0.0,1,8473,0.0,0.0,0.0
2,2,16.623821861027047,3045,0.0,1,8462,0.0,0.0,0.0
2,2,16.624447703078943,3046,0.0,1,8488,0.0,0.0,0.0
2,2,16.636714182167985,3048,0.0,1,8469,0.0,0.0,0.0
2,2,16.638088081496353,3050,0.0,1,8485,0.0,0.0,0.0
2,2,16.656435887074707,3052,0.0,1,8463,0.0,0.0,0.0
2,2,16.664962878175615,3054,0.0,1,8461,0.0,0.0,0.0
2,2,16.704502862210333,3055,0.0,1,8477,0.0,0.0,0.0
2,2,16.716678011502864,3057,0.0,1,8481,0.0,0.0,0.0
2,2,16.749768175383302,3059,0.0,1,8477,0.0,0.0,0.0
2,2,16.762565748497764,3061,0.0,1,8484,0.0,0.0,0.0
2,2,16.76912342519741,3063,0.0,1,8481,0.0,0.0,0.0
2,2,16.802179990012633,3065,0.0,1,8475,0.0,0.0,0.0
2,2,16.969096125596117,3066,0.0,1,8465,0.0,0.0,0.0
2,2,16.96945399952975,3067,0.0,1,8469,0.0,0.0,0.0
2,2,16.991220078123945,3069,0.0,1,8477,0.0,0.0,0.0
2,2,17.065008865605417,3071,0.0,1,8461,0.0,0.0,0.0
2,2,17.12054664580339,3073,0.0,1,8485,0.0,0.0,0.0
2,2,17.14111241088241,3075,0.0,1,8478,0.0,0.0,0.0
2,2,17.16539612276378,3077,0.0,1,8468,0.0,0.0,0.0
2,2,17.172086049912473,3079,0.0,1,8467,0.0,0.0,0.0
2,2,17.234365673533958,3081,0.0,1,8468,0.0,0.0,0.0
2,2,17.26686571599405,3083,0.0,1,8475,0.0,0.0,0.0
2,2,17.27918736027294,3085,0.0,1,8469,0.0,0.0,0.0
2,2,17.308586629389346,3087,0.0,1,8484,0.0,0.0,0.0
2,2,17.357106192661828,3089,0.0,1,8467,0.0,0.0,0.0
2,2,17.383498239646865,3091,0.0,1,8462,0.0,0.0,0.0
2,2,17.40763941817523,3093,0.0,1,8487,0.0,0.0,0.0
2,2,17.429816893485377,3095,0.0,1,8479,0.0,0.0,0.0
2,2,17.494992468443023,3096,0.0,1,8463,0.0,0.0,0.0
2,2,17.499634853736627,3098,0.0,1,8475,0.0,0.0,0.0
2,2,17.548925954601145,3100,0.0,1,8484,0.0,0.0,0.0
2,2,17.549510922311406,3102,0.0,1,8475,0.0,0.0,0.0
2,2,17.563102001762775,3104,0.0,1,8480,0.0,0.0,0.0
2,2,17.58353460855266,3106,0.0,1,8476,0.0,0.0,0.0
2,2,17.58916019058501,3108,0.0,1,8479,0.0,0.0,0.0
2,2,17.60638705337776,3110,0.0,1,8478,0.0,0.0,0.0
2,2,17.678360438513753,3112,0.0,1,8466,0.0,0.0,0.0
2,2,17.720200896048905,3114,0.0,1,8461,0.0,0.0,0.0
2,2,17.724742569243364,3116,0.0,1,8479,0.0,0.0,0.0
2,2,17.75583791293098,3118,0.0,1,8479,0.0,0.0,0.0
2,2,17.78018540889648,3120,0.0,1,8474,0.0,0.0,0.0
2,2,17.833587687833973,3122,0.0,1,8469,0.0,0.0,0.0
