iteration,replicate,parent_id,parent_generation,parent_age,kid_id,kid_generation,kid_age,kid_alive,time,parent_type,kid_type,parent_income,kid_income,parent_income_exposure,kid_income_exposure
0,0,0.0,0.0,0.0,2391,0,0.0,false,0.0993416810621048,2,2,30706.626977317435,0.0,0.0,0.0
0,0,0.0,0.0,0.0,463,0,0.0,false,0.1494016202171214,3,3,99096.15994686652,0.0,0.0,0.0
0,0,0.0,0.0,0.0,2884,0,0.0,false,0.16820807361785603,2,2,37936.70991246088,0.0,0.0,0.0
0,0,0.0,0.0,0.0,2628,0,0.0,false,0.32724753866040157,1,1,15746.913256260557,0.0,0.0,0.0
0,0,0.0,0.0,0.0,751,0,0.0,false,0.3591608985417065,2,2,32533.88943817537,0.0,0.0,0.0
0,0,0.0,0.0,0.0,1592,0,0.0,false,0.40951165741977447,2,2,36810.001798030135,0.0,0.0,0.0
0,0,0.0,0.0,0.0,153,0,0.0,false,0.44119352588618455,2,2,35860.99050278867,0.0,0.0,0.0
0,0,0.0,0.0,0.0,1790,0,0.0,false,0.6301304439555239,1,1,9480.219171928899,0.0,0.0,0.0
0,0,0.0,0.0,0.0,2363,0,0.0,false,0.6748424223546347,3,3,107159.40978563532,0.0,0.0,0.0
0,0,0.0,0.0,0.0,280,0,0.0,false,0.6751717403050652,1,1,6907.259449112173,0.0,0.0,0.0
0,0,0.0,0.0,0.0,1862,0,0.0,false,0.7410477735816701,2,2,31429.104306487883,0.0,0.0,0.0
0,0,0.0,0.0,0.0,1440,0,0.0,false,0.757490840686961,1,1,4354.164607490802,0.0,0.0,0.0
0,0,0.0,0.0,0.0,2784,0,0.0,false,0.7600459714725066,1,1,13953.46265729755,0.0,0.0,0.0
0,0,0.0,0.0,0.0,2740,0,0.0,false,0.7857824964721508,3,3,101013.64541437116,0.0,0.0,0.0
0,0,0.0,0.0,0.0,63,0,0.0,false,0.8683994688898284,2,2,42159.24388274066,0.0,0.0,0.0
0,0,0.0,0.0,0.0,1999,0,0.0,false,0.8716013914999707,2,2,25622.34878430013,0.0,0.0,0.0
0,0,0.0,0.0,0.0,335,0,0.0,false,0.9203975137569913,1,1,15826.760462132896,0.0,0.0,0.0
0,0,0.0,0.0,0.0,746,0,0.0,false,1.1965612168264161,1,1,16413.228380217904,0.0,0.0,0.0
0,0,0.0,0.0,0.0,328,0,2.0,false,2.6542905370749996,1,1,16814.637144997185,0.0,0.0,0.0
0,0,0.0,0.0,0.0,165,0,2.0,false,2.7509229000598006,1,1,5908.182380692179,0.0,0.0,0.0
0,0,0.0,0.0,0.0,188,0,2.0,false,2.825711643980114,3,3,91311.40125595262,0.0,0.0,0.0
0,0,0.0,0.0,0.0,260,0,3.0,false,3.0068973204347293,2,2,44028.002301921006,0.0,0.0,0.0
0,0,0.0,0.0,0.0,1220,0,6.0,false,7.045300851899207,2,2,42646.600179760746,0.0,0.0,0.0
0,0,0.0,0.0,0.0,2195,0,8.0,false,9.264988480794074,1,1,13801.057582064472,0.0,0.0,0.0
0,0,0.0,0.0,0.0,2905,0,11.0,false,11.830164144068966,2,2,31297.164757837178,0.0,0.0,0.0
0,0,0.0,0.0,0.0,772,0,11.0,false,11.853265310336687,1,1,5284.985460591644,0.0,0.0,0.0
0,0,0.0,0.0,0.0,1337,0,11.0,false,11.98294206287245,2,2,37071.52664054147,0.0,0.0,0.0
0,0,0.0,0.0,0.0,273,0,11.0,false,12.54344088760113,1,1,11274.33059662602,0.0,0.0,0.0
0,0,0.0,0.0,0.0,999,0,12.0,false,12.702253029244503,2,2,27803.540738097476,0.0,0.0,0.0
0,0,0.0,0.0,0.0,1885,0,14.0,false,14.966980257965961,2,2,42688.992532445896,0.0,0.0,0.0
0,0,0.0,0.0,0.0,2879,0,15.0,false,15.790027961102375,3,3,90859.13041159461,0.0,0.0,0.0
0,0,0.0,0.0,0.0,278,0,15.0,false,15.824936841321843,2,2,36264.781060569905,0.0,0.0,0.0
0,0,0.0,0.0,0.0,725,0,16.0,false,16.364290276811857,1,1,316.5543795939341,0.0,0.0,0.0
0,0,0.0,0.0,0.0,968,0,16.0,false,17.072237953309337,3,3,95639.93005147217,0.0,0.0,0.0
0,0,0.0,0.0,0.0,1447,0,18.0,true,18.0,2,2,35479.24432746811,41071.910765003326,0.0,0.0
0,0,0.0,0.0,0.0,1294,0,18.0,true,18.0,3,3,103727.44739283778,108624.99672128003,0.0,0.0
0,0,0.0,0.0,0.0,942,0,18.0,true,18.0,3,3,91899.70236588895,103201.02305151532,0.0,0.0
0,0,0.0,0.0,0.0,2941,0,18.0,true,18.0,3,3,99648.0242919609,103342.35960212909,0.0,0.0
0,0,0.0,0.0,0.0,2344,0,18.0,true,18.0,2,2,32679.334771160346,34755.4719438071,0.0,0.0
0,0,0.0,0.0,0.0,2868,0,18.0,true,18.0,2,2,43191.78949031691,31823.857317792943,0.0,0.0
0,0,0.0,0.0,0.0,2492,0,18.0,true,18.0,1,1,11589.196869338082,13556.18513648756,0.0,0.0
0,0,0.0,0.0,0.0,2169,0,18.0,true,18.0,2,2,40934.99569655947,38554.552305105906,0.0,0.0
0,0,0.0,0.0,0.0,445,0,18.0,true,18.0,3,3,108793.70548937531,91669.1616779147,0.0,0.0
0,0,0.0,0.0,0.0,1165,0,18.0,true,18.0,3,3,99763.6560459695,104880.25290513276,0.0,0.0
0,0,0.0,0.0,0.0,1485,0,18.0,true,18.0,3,3,90149.65802991553,93598.90432214005,0.0,0.0
0,0,0.0,0.0,0.0,254,0,18.0,true,18.0,3,3,95247.15357711267,104951.96776215348,0.0,0.0
