time,county,avg_age, avg_income, avg_zincome,gini,income_mobility,z_income_mobility,population
31.0,1,21.373333333333335,49937.183340710566,0.018284618183861567,0.0,0.8833762886597941,0.14705600918831233,150
31.0,2,20.961290322580645,50019.41128158029,0.02040591290433903,0.0,0.8682411108773407,-0.7765911214165622,155
31.0,3,21.6875,52865.38546985691,0.09382560402577582,0.0,0.8758551218050484,-0.31193458108014493,144
31.0,4,21.357615894039736,44982.09041992368,-0.10954556145051203,0.0,0.8689795918367343,-0.7315242032108797,151
31.0,5,19.32934131736527,47551.500345342814,-0.04326060220326724,0.0,0.9101883021249739,1.7832997097124677,167
31.0,6,21.218543046357617,49504.75658775575,0.0071289869186975776,0.0,0.8778953005757133,-0.18742958387884207,151
31.0,7,21.57718120805369,47621.44189956088,-0.041456268443531584,0.0,0.8886048604860478,0.46613751810058257,149
31.0,8,20.419753086419753,42821.88719154188,-0.16527391430790847,0.0,0.8641311069882499,-1.0274103290597378,162
31.0,9,22.214285714285715,50170.0657994536,0.024292458402141236,0.0,0.8932838589981444,0.751680483761206,140
31.0,10,21.651006711409394,55706.07311468316,0.167108914294278,0.0,0.8756091527520098,-0.3269452148052489,149
31.0,11,20.81528662420382,48343.48759560935,-0.022829124108275665,0.0,0.886728509585653,0.3516303646288358,157
31.0,12,19.806060606060605,50560.49180048839,0.03436456535231338,0.0,0.8919792833146696,0.6720667782588235,165
31.0,13,21.186666666666667,54073.051318494414,0.1249806489134335,0.0,0.8771302335367138,-0.23411895782933997,150
31.0,14,19.68639053254438,47464.62430332001,-0.045501807410764025,0.0,0.8869635126777984,0.3659717839939276,169
31.0,15,20.496815286624205,50670.21061802733,0.0371950624548878,0.0,0.8883073848095943,0.4479836147285584,157
31.0,16,19.82634730538922,45103.13047366939,-0.1064230020836915,0.0,0.9051453308596165,1.4755447559272337,167
31.0,17,20.540880503144653,50324.17545814183,0.02826813871095362,0.0,0.8834384662956092,0.15085049351706323,159
31.0,18,21.215686274509803,49663.018069296566,0.011211774857889576,0.0,0.8549288806431671,-1.58899011893615,153
31.0,19,20.941558441558442,45324.54233438356,-0.1007110773265313,0.0,0.8939485588049657,0.7922447954666055,154
31.0,20,20.967532467532468,47022.592627139165,-0.056905223950792665,0.0,0.9052145214521451,1.4797672165532338,154
31.0,21,21.12987012987013,55271.17703857964,0.15588958008212192,0.0,0.8337381813081367,-2.8821846170544703,154
31.0,22,20.92948717948718,46916.947483387194,-0.05963062949196062,0.0,0.8871985157699447,0.38031320335907354,156
31.0,23,20.035928143712574,46589.53612565099,-0.0680771013024441,0.0,0.8871047104710469,0.37458859302361186,167
31.0,24,19.9125,44626.02835948597,-0.11873115652902143,0.0,0.8790106248685035,-0.11936523091670956,160
31.0,25,21.818791946308725,53687.30111763348,0.11502916702230909,0.0,0.8892269635126782,0.5041022968264646,149
31.0,26,21.97241379310345,52795.75804217443,0.09202937401951436,0.0,0.9016944959802101,1.2649523347235623,145
31.0,27,22.055172413793102,59097.11556387824,0.25459013257979807,0.0,0.8548540315845176,-1.5935578960210184,145
31.0,28,21.815068493150687,41165.02198419882,-0.2080172857179793,0.0,0.8859740259740257,0.3055868603512851,146
31.0,29,21.493150684931507,43263.051785148775,-0.15389286653531908,0.0,0.8690169366715756,-0.7292451781449125,146
31.0,30,20.417721518987342,54003.972452582006,0.12319857055896345,0.0,0.8612295902428447,-1.20447977976698,158
32.0,1,21.772727272727273,49937.183340710566,0.01789197126611114,0.0,0.8833762886597941,0.14705600918831233,154
32.0,2,21.38364779874214,50019.41128158029,0.020013443022646765,0.0,0.8682411108773407,-0.7765911214165622,159
32.0,3,21.93288590604027,52865.38546985691,0.09343926150233464,0.0,0.8758551218050484,-0.31193458108014493,149
32.0,4,21.43949044585987,44982.09041992368,-0.10994887664122792,0.0,0.8689795918367343,-0.7315242032108797,157
32.0,5,19.881656804733726,47674.49514686897,-0.040485133235230716,0.0,0.9101883021249739,1.7832997097124677,169
32.0,6,21.35031847133758,49504.75658775575,0.0067354089898214375,0.0,0.8778953005757133,-0.18742958387884207,157
32.0,7,21.57051282051282,47621.44189956088,-0.04185390113293284,0.0,0.8886048604860478,0.46613751810058257,156
32.0,8,20.903614457831324,42821.88719154188,-0.16568188039782436,0.0,0.8641311069882499,-1.0274103290597378,166
32.0,9,21.966216216216218,50170.0657994536,0.023900312878346167,0.0,0.8932838589981444,0.751680483761206,148
32.0,10,22.304635761589402,55706.07311468316,0.16672868774720476,0.0,0.8756091527520098,-0.3269452148052489,151
32.0,11,21.39375,48343.48759560935,-0.023225202239427013,0.0,0.886728509585653,0.3516303646288358,160
32.0,12,20.272189349112427,50560.49180048839,0.03397326041238189,0.0,0.8919792833146696,0.6720667782588235,169
32.0,13,20.89308176100629,54073.051318494414,0.12459690648430545,0.0,0.8771302335367138,-0.23411895782933997,159
32.0,14,20.23121387283237,47314.12569563125,-0.0497826251173438,0.0,0.8869635126777984,0.3659717839939276,173
32.0,15,20.349397590361445,50670.21061802733,0.03680399373863844,0.0,0.8883073848095943,0.4479836147285584,166
32.0,16,20.203488372093023,45103.13047366939,-0.1068260566761999,0.0,0.9051453308596165,1.4755447559272337,172
32.0,17,20.650602409638555,50324.17545814183,0.02787632498394456,0.0,0.8834384662956092,0.15085049351706323,166
32.0,18,21.563291139240505,49663.018069296566,0.010818537664638769,0.0,0.8549288806431671,-1.58899011893615,158
32.0,19,20.944099378881987,45324.54233438356,-0.10111365522118446,0.0,0.8939485588049657,0.7922447954666055,161
