iteration,replicate,time,county,avg_age, avg_income, avg_zincome,gini,income_mobility,z_income_mobility,population
0,0,31.0,1,20.66025641025641,50390.862383346066,0.05433084175453943,0.0,0.8384547771384193,-3.1001086462911016,156
0,0,31.0,2,22.443661971830984,51653.386753232204,0.08726555668984197,0.0,0.8708924242328221,-0.6010530420286749,142
0,0,31.0,3,20.81132075471698,44167.96525386408,-0.10800213804345372,0.0,0.8832072010711114,0.3476998679281752,159
0,0,31.0,4,19.367469879518072,45992.68639364903,-0.0604017336404422,0.0,0.8786356206408509,-0.0045030418984851345,166
0,0,31.0,5,21.39189189189189,44324.204959595714,-0.10392640668128521,0.0,0.8668136414532317,-0.915289920376837,148
0,0,31.0,6,19.289017341040463,40245.375000082684,-0.2103283939936155,0.0,0.8892914246455778,0.8164395695811777,173
0,0,31.0,7,19.727272727272727,53309.009200873224,0.13045478507555808,0.0,0.8962473410944342,1.3523360830892528,165
0,0,31.0,8,20.94904458598726,48474.9963058717,0.0043527941058236755,0.0,0.8655667557709545,-1.0113522717274375,157
0,0,31.0,9,20.26875,52318.8196826504,0.10462430584486064,0.0,0.8788491444299986,0.011947220981558504,160
0,0,31.0,10,20.577639751552795,46899.948186032336,-0.0367345401853722,0.0,0.8939658734957018,1.1765676504417717,161
0,0,31.0,11,20.419753086419753,53807.00803929301,0.1434457816635656,0.0,0.8768124602764256,-0.1449626477671362,162
0,0,31.0,12,19.640243902439025,55967.912922503,0.19981600946141959,0.0,0.8822477010390657,0.27377823220054737,164
0,0,31.0,13,20.427672955974842,45450.599399602426,-0.07454283146390042,0.0,0.8885073706857618,0.756034619844231,159
0,0,31.0,14,20.018072289156628,49112.261980489326,0.02097676100277769,0.0,0.8815240958758522,0.2180303682097015,166
0,0,31.0,15,20.13939393939394,48205.23573330678,-0.0026842879261141863,0.0,0.8917697362355795,1.007373223001779,165
0,0,31.0,16,19.795180722891565,48677.195961450685,0.009627455075030196,0.0,0.8771123869569402,-0.12185574825539079,166
0,0,31.0,17,21.1523178807947,36569.48385705987,-0.30621915841472314,0.0,0.8539030432160084,-1.909945999629909,151
0,0,31.0,18,21.687074829931973,41349.1099180408,-0.18153592411806913,0.0,0.8652842472847442,-1.0331172417223644,147
0,0,31.0,19,20.364197530864196,49811.079505997666,0.03920639406442404,0.0,0.8950159391255433,1.2574666253107507,162
0,0,31.0,20,21.598639455782312,49168.57547420423,0.022445777290105648,0.0,0.8986255124775118,1.5355547519859294,147
0,0,31.0,21,20.05521472392638,48560.90234945146,0.00659377346749294,0.0,0.8829394748954117,0.32707375414615764,163
0,0,31.0,22,19.00581395348837,48406.40535021651,0.0025635030429929082,0.0,0.8986786092808503,1.53964542673695,172
0,0,31.0,23,20.124223602484474,49621.05646077732,0.03424937701608398,0.0,0.868574678959012,-0.7796163730529958,161
0,0,31.0,24,21.895833333333332,44222.9101789694,-0.1065688227834493,0.0,0.8814630982530934,0.21333099989366977,144
0,0,31.0,25,20.685897435897434,53334.093970798414,0.13110915640209175,0.0,0.8712136160754662,-0.5763078355694288,156
0,0,31.0,26,21.0718954248366,47477.97050063587,-0.02165601923814651,0.0,0.8883549994347761,0.7442956602459593,153
0,0,31.0,27,21.63758389261745,52773.12043218119,0.1164753766341239,0.0,0.8786049134248968,-0.006868781925746494,149
0,0,31.0,28,21.33116883116883,48864.09931603359,0.0145030906274709,0.0,0.8878334902174357,0.7041176372076013,154
0,0,31.0,29,20.75483870967742,51609.394254762774,0.08611795080520204,0.0,0.8611326533193424,-1.3529636268706142,155
0,0,31.0,30,20.537974683544302,47399.74187584075,-0.023696722387219496,0.0,0.8728436517734475,-0.4507269068931691,158
0,0,31.0,31,21.155844155844157,43411.38990645393,-0.12773846471434236,0.0,0.8828111763192856,0.31718939740617536,154
0,0,31.0,32,21.924657534246574,46173.45634316328,-0.05568609654215989,0.0,0.8818331151897771,0.24183778081400922,146
0,0,31.0,33,19.31791907514451,54210.33190253722,0.1539670490381913,0.0,0.8606714930152674,-1.388492259357679,173
0,0,31.0,34,20.082278481012658,51382.59942592441,0.0802016903236197,0.0,0.8936335107748367,1.1509618191122482,158
0,0,31.0,35,21.086666666666666,41729.27924321866,-0.17161867527081842,0.0,0.8761324572665693,-0.19735132219074608,150
0,0,31.0,36,20.232704402515722,43188.71416295231,-0.13354727309076514,0.0,0.8739578663999049,-0.3648857761078196,159
0,0,31.0,37,22.608695652173914,49372.05191387873,0.02775374495914488,0.0,0.8899122321352833,0.8642677129665935,138
0,0,31.0,38,20.375,52238.49627837269,0.10252895744159927,0.0,0.8727340758269565,-0.45916883803489694,160
0,0,31.0,39,21.0,48066.154088849966,-0.006312427249342585,0.0,0.8906091689884538,0.9179610016217171,155
0,0,31.0,40,20.941935483870967,54535.74649286216,0.16245594400431912,0.0,0.8611018194692175,-1.3553391230257892,155
0,0,32.0,1,20.987577639751553,50390.862383346066,0.054047824738859385,0.0,0.8384547771384193,-3.1001086462911016,161
0,0,32.0,2,22.45945945945946,51653.386753232204,0.08698196699902695,0.0,0.8708924242328221,-0.6010530420286749,148
0,0,32.0,3,20.514792899408285,44167.96525386408,-0.10828233238217125,0.0,0.8832072010711114,0.3476998679281752,169
0,0,32.0,4,19.453488372093023,46147.51556752901,-0.05664389022894807,0.0,0.8786356206408509,-0.0045030418984851345,172
0,0,32.0,5,21.493506493506494,44324.204959595714,-0.10420667188960073,0.0,0.8668136414532317,-0.915289920376837,154
0,0,32.0,6,19.407821229050278,40434.38693037189,-0.20567625409827933,0.0,0.8892914246455778,0.8164395695811777,179
