id,county,county_income,county_gini,county_income_mobility,generation,age,time,income,parent_id
5124,6,NaN,0.0,0.0,1,0.0,6.0467427688831945,0.0,0.0
5126,22,NaN,0.0,0.0,1,0.0,6.04786792969885,0.0,0.0
5128,10,NaN,0.0,0.0,1,0.0,6.048606478932701,0.0,0.0
5130,14,NaN,0.0,0.0,1,0.0,6.049515636567942,0.0,0.0
5132,25,NaN,0.0,0.0,1,0.0,6.050754810827277,0.0,0.0
5134,17,NaN,0.0,0.0,1,0.0,6.051557889299451,0.0,0.0
5136,2,NaN,0.0,0.0,1,0.0,6.051846154296905,0.0,0.0
5138,19,NaN,0.0,0.0,1,0.0,6.053244549333349,0.0,0.0
5140,15,NaN,0.0,0.0,1,0.0,6.0542574594259335,0.0,0.0
5142,17,NaN,0.0,0.0,1,0.0,6.054920489854156,0.0,0.0
5144,10,NaN,0.0,0.0,1,0.0,6.055818375224599,0.0,0.0
5146,3,NaN,0.0,0.0,1,0.0,6.055981809015288,0.0,0.0
5148,2,NaN,0.0,0.0,1,0.0,6.056900064750302,0.0,0.0
5150,4,NaN,0.0,0.0,1,0.0,6.05773069664852,0.0,0.0
5152,3,NaN,0.0,0.0,1,0.0,6.057880775092058,0.0,0.0
5154,17,NaN,0.0,0.0,1,0.0,6.0584920757065,0.0,0.0
5156,18,NaN,0.0,0.0,1,0.0,6.058587265687049,0.0,0.0
5158,11,NaN,0.0,0.0,1,0.0,6.059519946104967,0.0,0.0
5160,5,NaN,0.0,0.0,1,0.0,6.059907778122411,0.0,0.0
5162,19,NaN,0.0,0.0,1,0.0,6.062213202457133,0.0,0.0
5164,11,NaN,0.0,0.0,1,0.0,6.062360124515024,0.0,0.0
5166,4,NaN,0.0,0.0,1,0.0,6.062568334005924,0.0,0.0
5168,25,NaN,0.0,0.0,1,0.0,6.063468097814244,0.0,0.0
5170,14,NaN,0.0,0.0,1,0.0,6.0639474019332145,0.0,0.0
5172,24,NaN,0.0,0.0,1,0.0,6.064478043634735,0.0,0.0
5174,15,NaN,0.0,0.0,1,0.0,6.0651226555165465,0.0,0.0
5176,25,NaN,0.0,0.0,1,0.0,6.066484936093234,0.0,0.0
5178,2,NaN,0.0,0.0,1,0.0,6.066488418058185,0.0,0.0
5180,6,NaN,0.0,0.0,1,0.0,6.0668444128290515,0.0,0.0
5182,23,NaN,0.0,0.0,1,0.0,6.0672342291284425,0.0,0.0
5184,8,NaN,0.0,0.0,1,0.0,6.067753963046646,0.0,0.0
5186,25,NaN,0.0,0.0,1,0.0,6.067963701595155,0.0,0.0
5188,17,NaN,0.0,0.0,1,0.0,6.068384295066044,0.0,0.0
5190,12,NaN,0.0,0.0,1,0.0,6.06851905449073,0.0,0.0
5192,23,NaN,0.0,0.0,1,0.0,6.070566941633783,0.0,0.0
5194,24,NaN,0.0,0.0,1,0.0,6.070878135064969,0.0,0.0
5196,15,NaN,0.0,0.0,1,0.0,6.071479612297258,0.0,0.0
5198,23,NaN,0.0,0.0,1,0.0,6.073015341776,0.0,0.0
5200,3,NaN,0.0,0.0,1,0.0,6.073419720889841,0.0,0.0
5202,25,NaN,0.0,0.0,1,0.0,6.073545193937047,0.0,0.0
5204,18,NaN,0.0,0.0,1,0.0,6.073911621364667,0.0,0.0
5206,6,NaN,0.0,0.0,1,0.0,6.074332690611571,0.0,0.0
5208,1,NaN,0.0,0.0,1,0.0,6.074643471333876,0.0,0.0
5210,6,NaN,0.0,0.0,1,0.0,6.075106757206662,0.0,0.0
5212,6,NaN,0.0,0.0,1,0.0,6.07603064826358,0.0,0.0
5214,4,NaN,0.0,0.0,1,0.0,6.076305678744761,0.0,0.0
5216,12,NaN,0.0,0.0,1,0.0,6.077127982556104,0.0,0.0
5218,21,NaN,0.0,0.0,1,0.0,6.0771641085248,0.0,0.0
5220,7,NaN,0.0,0.0,1,0.0,6.07850867632411,0.0,0.0
5222,15,NaN,0.0,0.0,1,0.0,6.078550587271597,0.0,0.0
5224,10,NaN,0.0,0.0,1,0.0,6.0787779483089555,0.0,0.0
5226,23,NaN,0.0,0.0,1,0.0,6.079865056487666,0.0,0.0
5228,11,NaN,0.0,0.0,1,0.0,6.080781688968075,0.0,0.0
5230,22,NaN,0.0,0.0,1,0.0,6.081043379965633,0.0,0.0
5232,12,NaN,0.0,0.0,1,0.0,6.08346618900803,0.0,0.0
5234,20,NaN,0.0,0.0,1,0.0,6.083839166669182,0.0,0.0
5236,4,NaN,0.0,0.0,1,0.0,6.085163071598589,0.0,0.0
5238,19,NaN,0.0,0.0,1,0.0,6.085999931193692,0.0,0.0
5240,8,NaN,0.0,0.0,1,0.0,6.087594207987529,0.0,0.0
5242,14,NaN,0.0,0.0,1,0.0,6.088230703519378,0.0,0.0
5244,25,NaN,0.0,0.0,1,0.0,6.089208899299275,0.0,0.0
5246,17,NaN,0.0,0.0,1,0.0,6.08941651630196,0.0,0.0
5248,9,NaN,0.0,0.0,1,0.0,6.090719939350187,0.0,0.0
5250,24,NaN,0.0,0.0,1,0.0,6.091255817577615,0.0,0.0
5252,17,NaN,0.0,0.0,1,0.0,6.091879250188682,0.0,0.0
5254,8,NaN,0.0,0.0,1,0.0,6.092145306995931,0.0,0.0
5256,18,NaN,0.0,0.0,1,0.0,6.093863650746304,0.0,0.0
5258,16,NaN,0.0,0.0,1,0.0,6.094981436925953,0.0,0.0
5260,3,NaN,0.0,0.0,1,0.0,6.096006373465462,0.0,0.0
5262,20,NaN,0.0,0.0,1,0.0,6.0975403392429675,0.0,0.0
5264,1,NaN,0.0,0.0,1,0.0,6.099245386253996,0.0,0.0
5266,13,NaN,0.0,0.0,1,0.0,6.100246459320907,0.0,0.0
5268,6,NaN,0.0,0.0,1,0.0,6.100296554844431,0.0,0.0
5270,16,NaN,0.0,0.0,1,0.0,6.1003535991509255,0.0,0.0
5272,6,NaN,0.0,0.0,1,0.0,6.101027818405708,0.0,0.0
5274,22,NaN,0.0,0.0,1,0.0,6.1018787480181516,0.0,0.0
5276,2,NaN,0.0,0.0,1,0.0,6.102411358615454,0.0,0.0
5278,17,NaN,0.0,0.0,1,0.0,6.1026847955444214,0.0,0.0
5280,14,NaN,0.0,0.0,1,0.0,6.1031235204003575,0.0,0.0
5282,14,NaN,0.0,0.0,1,0.0,6.1039028450040345,0.0,0.0
5284,12,NaN,0.0,0.0,1,0.0,6.104344608712572,0.0,0.0
5286,12,NaN,0.0,0.0,1,0.0,6.104521041536115,0.0,0.0
5288,22,NaN,0.0,0.0,1,0.0,6.105041767117253,0.0,0.0
5290,15,NaN,0.0,0.0,1,0.0,6.105724190480377,0.0,0.0
5292,16,NaN,0.0,0.0,1,0.0,6.106525722330991,0.0,0.0
5294,11,NaN,0.0,0.0,1,0.0,6.1068332720988385,0.0,0.0
5296,8,NaN,0.0,0.0,1,0.0,6.107111211577358,0.0,0.0
5298,15,NaN,0.0,0.0,1,0.0,6.111633327194971,0.0,0.0
5300,22,NaN,0.0,0.0,1,0.0,6.112098562764541,0.0,0.0
5302,5,NaN,0.0,0.0,1,0.0,6.112770807638707,0.0,0.0
5304,23,NaN,0.0,0.0,1,0.0,6.114168106623335,0.0,0.0
5306,22,NaN,0.0,0.0,1,0.0,6.115654972439624,0.0,0.0
5308,2,NaN,0.0,0.0,1,0.0,6.116597199437542,0.0,0.0
5310,16,NaN,0.0,0.0,1,0.0,6.1169296691946515,0.0,0.0
5312,5,NaN,0.0,0.0,1,0.0,6.118775908317312,0.0,0.0
