iteration,replicate,time,id,age,generation,county,average_income,income_mobility,gini
1,15,18.136598407212244,3122,0.0,1,14,49540.48545599306,0.0,0.0
1,15,18.1375310110195,3124,0.0,1,5,47909.691698576535,0.0,0.0
1,15,18.16742057003666,3125,0.0,1,28,53222.69563827607,0.0,0.0
1,15,18.175660336472028,3127,0.0,1,25,52635.27796929426,0.0,0.0
1,15,18.203971089581415,3129,0.0,1,6,48247.789232261886,0.0,0.0
1,15,18.21702877724995,3131,0.0,1,7,52345.7511738833,0.0,0.0
1,15,18.273361566510886,3133,0.0,1,3,49872.84786816767,0.0,0.0
1,15,18.3038822311191,3135,0.0,1,6,48247.789232261886,0.0,0.0
1,15,18.322296969778375,3137,0.0,1,21,48220.424574508324,0.0,0.0
1,15,18.382020757060456,3139,0.0,1,8,43859.879706734355,0.0,0.0
1,15,18.440043345784648,3141,0.0,1,7,52345.7511738833,0.0,0.0
1,15,18.540848577683906,3143,0.0,1,22,47521.64207023662,0.0,0.0
1,15,18.546633632968728,3145,0.0,1,28,53222.69563827607,0.0,0.0
1,15,18.644771861213044,3147,0.0,1,5,47909.691698576535,0.0,0.0
1,15,18.689911860797537,3149,0.0,1,15,48170.17955839455,0.0,0.0
1,15,18.779623843230482,3151,0.0,1,21,48220.424574508324,0.0,0.0
1,15,18.812546988431315,3153,0.0,1,23,54980.16080688568,0.0,0.0
1,15,18.83455330712233,3155,0.0,1,25,52635.27796929426,0.0,0.0
1,15,18.95806053763245,3156,0.0,1,29,45423.299147734324,0.0,0.0
1,15,18.95917372914964,3158,0.0,1,9,53185.74332437811,0.0,0.0
1,15,18.978217946761013,3160,0.0,1,3,49872.84786816767,0.0,0.0
1,15,19.004591456101057,3162,0.0,1,12,47208.03795241722,0.0,0.0
1,15,19.06769437030412,3164,0.0,1,28,52264.61678105575,0.0,0.0
1,15,19.104858396993677,3166,0.0,1,30,51945.96898065089,0.0,0.0
1,15,19.206696613880787,3168,0.0,1,8,43365.311113168755,0.0,0.0
1,15,19.255800084573536,3170,0.0,1,23,55356.56022160853,0.0,0.0
1,15,19.26227615964057,3172,0.0,1,24,47759.15594778365,0.0,0.0
1,15,19.270343126623715,3174,0.0,1,27,53402.22515540838,0.0,0.0
1,15,19.326390496850987,3176,0.0,1,14,49254.20140633035,0.0,0.0
1,15,19.33323720021369,3178,0.0,1,13,46896.22094056874,0.0,0.0
1,15,19.348895858125072,3180,0.0,1,8,43365.311113168755,0.0,0.0
1,15,19.380153076534942,3182,0.0,1,10,49081.56161625181,0.0,0.0
1,15,19.41027581802476,3184,0.0,1,27,53402.22515540838,0.0,0.0
1,15,19.426471589873113,3186,0.0,1,6,48083.45952865434,0.0,0.0
1,15,19.44160467797876,3188,0.0,1,28,52264.61678105575,0.0,0.0
1,15,19.472411752055752,3190,0.0,1,1,47798.16841101433,0.0,0.0
1,15,19.59247435446587,3192,0.0,1,24,47759.15594778365,0.0,0.0
1,15,19.60222426285642,3194,0.0,1,13,46896.22094056874,0.0,0.0
1,15,19.67335908917684,3196,0.0,1,18,47954.646745522485,0.0,0.0
1,15,19.674196386463855,3198,0.0,1,10,49081.56161625181,0.0,0.0
1,15,19.712706314049157,3200,0.0,1,22,47867.99735716143,0.0,0.0
1,15,19.734951454120353,3202,0.0,1,6,48083.45952865434,0.0,0.0
1,15,19.73737333981557,3204,0.0,1,29,45789.98063218909,0.0,0.0
1,15,19.754148518342415,3206,0.0,1,13,46896.22094056874,0.0,0.0
1,15,19.790530357589876,3208,0.0,1,27,53402.22515540838,0.0,0.0
1,15,19.805255419204038,3210,0.0,1,15,48318.990442552094,0.0,0.0
1,15,19.912461937938627,3212,0.0,1,29,45789.98063218909,0.0,0.0
1,15,19.98855585710229,3214,0.0,1,5,48595.99818852842,0.0,0.0
1,15,19.988660577324342,3216,0.0,1,13,46896.22094056874,0.0,0.0
1,15,19.990643314290974,3218,0.0,1,24,47759.15594778365,0.0,0.0
1,15,19.995945490338976,3220,0.0,1,4,42577.8328351738,0.0,0.0
1,15,19.999531184547074,3222,0.0,1,28,52264.61678105575,0.0,0.0
