iteration,replicate,time,county,avg_age, avg_income, avg_zincome,gini,income_mobility,z_income_mobility,population
3,2,31.0,9024,20.978571428571428,51572.07104932247,0.07843442299167712,0.0,0.8768344618305476,-0.047082917822539615,140
3,2,31.0,9025,20.340740740740742,54399.81445313133,0.15247923247521292,0.0,0.90237138943946,1.6694662459654903,135
3,2,31.0,9026,20.842424242424244,50942.14167873859,0.06193964479852832,0.0,0.9010558444004733,1.581037529277969,165
3,2,31.0,9027,21.441558441558442,47236.04378041269,-0.035104985361069645,0.0,0.8806271229668151,0.20785336118853745,154
3,2,31.0,9028,20.386503067484664,55403.96789054726,0.17877311397292991,0.0,0.8709044350314546,-0.4456893085016996,163
3,2,31.0,9029,20.30718954248366,40509.76409757765,-0.21123344771647648,0.0,0.8850915870698597,0.5079471015243273,153
3,2,31.0,9030,20.575949367088608,45120.33352200356,-0.09050511919048827,0.0,0.8953019504093598,1.194270488613149,158
3,2,31.0,9031,19.348387096774193,37747.625961912774,-0.2835603751693109,0.0,0.8597682450744937,-1.194245197884984,155
3,2,31.0,9032,22.037593984962406,54403.63325810282,0.15257922835397214,0.0,0.8663229725708891,-0.7536474809196457,133
3,2,31.0,9033,20.132911392405063,52953.49879385755,0.11460727871175189,0.0,0.8568496682038844,-1.390427008141083,158
3,2,31.0,9034,22.074074074074073,44467.111361028896,-0.10760982197032433,0.0,0.8763744736403346,-0.07800254744105677,162
3,2,31.0,9035,19.976047904191617,44730.88761301157,-0.10070280830775862,0.0,0.8801485344492288,0.17568344896406848,167
3,2,31.0,9036,21.41830065359477,49549.3886547226,0.025470235239663866,0.0,0.886212005778388,0.5832597556803231,153
3,2,31.0,9037,21.71812080536913,48013.0633034002,-0.01475863340172927,0.0,0.8752759804963695,-0.15184140216068945,149
3,2,31.0,9038,21.248447204968944,44422.47625694457,-0.10877859767102982,0.0,0.8987763748983615,1.4278154374252006,161
3,2,31.0,9039,19.156976744186046,54908.62586186178,0.1658025219122069,0.0,0.8745447167740598,-0.2009957150938217,172
3,2,31.0,9040,19.790849673202615,49271.484211046896,0.018193273136639154,0.0,0.8853852307510808,0.5276853340623632,153
3,2,31.0,9041,19.52201257861635,40550.404804661586,-0.21016926579344444,0.0,0.8590752702924803,-1.240825792888749,159
3,2,31.0,9042,20.445205479452056,58525.14130117207,0.26050142434348894,0.0,0.872193897518246,-0.35901381694157447,146
3,2,31.0,9043,21.20408163265306,56365.73528401141,0.2039571116866572,0.0,0.8584205416995265,-1.2848355436291123,147
3,2,31.0,9044,20.68639053254438,49389.34770701403,0.02127954330252275,0.0,0.8767454441326379,-0.05306653720108618,169
3,2,31.0,9045,19.71511627906977,43454.87295004476,-0.13411540949721296,0.0,0.9089096804235802,2.1089591283229336,172
3,2,31.0,9046,20.434782608695652,57633.42635057828,0.23715175847868591,0.0,0.8670538645212168,-0.7045181578715363,161
3,2,31.0,9047,21.069444444444443,46344.768593143126,-0.05844313596903733,0.0,0.8788440243847109,0.08799648463168691,144
3,2,31.0,9048,19.726114649681527,52228.72273263958,0.09562892823666064,0.0,0.8663818710911004,-0.7496884218203883,157
3,2,31.0,9049,22.13986013986014,44901.68112886003,-0.09623055904886606,0.0,0.8650326927987849,-0.8403779090187969,143
3,2,31.0,9050,20.21951219512195,42132.69590120077,-0.16873677844932108,0.0,0.8878609123342935,0.6940964707719398,164
3,2,31.0,9051,18.77456647398844,40449.154113773526,-0.2128205276111838,0.0,0.8919302920589629,0.9676333061537841,173
3,2,31.0,9052,21.11764705882353,52777.980141583634,0.11001130117329368,0.0,0.8438112579521669,-2.2668469345107636,153
3,2,31.0,9053,19.67222222222222,48319.3737123138,-0.006737857598563665,0.0,0.8779425455511134,0.027400599265888073,180
3,2,32.0,9024,20.820689655172412,52557.42938797293,0.10400104157695281,0.0,0.8768344618305476,-0.047082917822539615,145
3,2,32.0,9025,20.640287769784173,54897.64602485518,0.16529310829270927,0.0,0.90237138943946,1.6694662459654903,139
3,2,32.0,9026,20.99397590361446,50889.42224670768,0.060314656575865856,0.0,0.9010558444004733,1.581037529277969,166
3,2,32.0,9027,21.97530864197531,47369.22396774347,-0.03188203340853261,0.0,0.8806271229668151,0.20785336118853745,162
3,2,32.0,9028,20.80473372781065,55692.035488722155,0.18609877698605526,0.0,0.8709044350314546,-0.4456893085016996,169
3,2,32.0,9029,20.955696202531644,40474.78376511743,-0.21245270460507687,0.0,0.8850915870698597,0.5079471015243273,158
3,2,32.0,9030,20.476190476190474,44804.22110955515,-0.09906142348398836,0.0,0.8953019504093598,1.194270488613149,168
3,2,32.0,9031,19.12962962962963,36218.00312233065,-0.32394105104278914,0.0,0.8597682450744937,-1.194245197884984,162
3,2,32.0,9032,22.68148148148148,54323.65683759182,0.15025989170694123,0.0,0.8663229725708891,-0.7536474809196457,135
3,2,32.0,9033,20.350877192982455,52591.969583356884,0.1049056757576026,0.0,0.8568496682038844,-1.390427008141083,171
3,2,32.0,9034,22.358823529411765,44739.03161317554,-0.10076878634018474,0.0,0.8763744736403346,-0.07800254744105677,170
3,2,32.0,9035,20.52840909090909,44772.24678788349,-0.09989885546622643,0.0,0.8801485344492288,0.17568344896406848,176
3,2,32.0,9036,21.93548387096774,50313.449532905004,0.04522948991032132,0.0,0.886212005778388,0.5832597556803231,155
3,2,32.0,9037,21.69871794871795,47799.434611481694,-0.020614487036004884,0.0,0.8752759804963695,-0.15184140216068945,156
3,2,32.0,9038,20.69364161849711,43928.544433804855,-0.12199606653610488,0.0,0.8987763748983615,1.4278154374252006,173
