q,fd
1,-0.361944526332792
1,-0.331026976840846
1,-0.373890842598954
1,-0.253583714504479
1,-0.353284108123084
1,-0.392192727845384
1,-0.372797223500427
1,-0.374302645077513
1,-0.347889308348378
1,-0.40702743371213
1,-0.306373639153762
1,-0.398497179132598
1,-0.36119929792256
1,-0.346884965197845
1,-0.353733112765809
1,-0.325541335935903
1,-0.383586437866143
1,-0.329091441681243
1,-0.306828358783882
1,-0.340912267924395
1,-0.418004124471111
1,-0.409050947098727
1,-0.358196093246264
1,-0.335336132677341
1,-0.315693836965039
1,-0.448224091558181
1,-0.334050960856771
1,-0.291660729752948
1,-0.327179196795882
1,-0.368125796410915
1,-0.421267487227027
1,-0.35343000957274
1,-0.329378358490345
1,-0.383895291022476
1,-0.374763545078437
1,-0.418379902756278
1,-0.337745060687688
1,-0.388425413351413
1,-0.305448504119319
1,-0.296211560117655
1,-0.402101238233293
1,-0.376636133115909
1,-0.319593686710419
1,-0.303073188508321
1,-0.32950265841658
1,-0.328234985640329
1,-0.362560561450593
1,-0.313609783515737
1,-0.30885509670015
1,-0.366673795072863
1,-0.319420909326254
1,-0.443947579267999
1,-0.373914821361808
1,-0.334092118479681
1,-0.3540612171888
1,-0.335112115639369
1,-0.328501495822003
1,-0.357674266868607
1,-0.399824573518814
1,-0.321237584481651
1,-0.423544706746952
1,-0.381700029721209
1,-0.325700388692894
1,-0.338241091451458
1,-0.410055402760399
1,-0.278524266854589
1,-0.340340957424239
1,-0.320439023156595
1,-0.313381240643686
1,-0.309500245388968
1,-0.35799623918615
1,-0.306620179348236
1,-0.358921032073866
1,-0.320829196267184
1,-0.337426632742208
1,-0.320327367976844
1,-0.342432372188071
1,-0.319967515717366
1,-0.372410515755874
1,-0.384009649873164
1,-0.1955350380005
1,-0.36814854247006
1,-0.354664402314583
1,-0.33153580074989
1,-0.396603635390761
1,-0.339318240883188
1,-0.314677639227625
1,-0.327583558631225
1,-0.334133699164148
1,-0.354182015423355
1,-0.40618626486507
1,-0.396547794591719
1,-0.402729460387114
1,-0.334466992757001
1,-0.257418541888917
1,-0.326838776994421
1,-0.348278364712073
1,-0.308996083667807
1,-0.34695697471679
1,-0.303082711087157
1,-0.364477368642838
1,-0.33008340724875
1,-0.405853200510776
1,-0.37283392252693
1,-0.370918693703253
1,-0.32872318102855
1,-0.357632457278001
1,-0.345687889603639
1,-0.369310615980041
1,-0.354854356695334
1,-0.338857020738551
1,-0.357754128961538
1,-0.335278567268595
1,-0.395601734993434
1,-0.283945698009724
1,-0.285095755647404
1,-0.344431863158867
1,-0.310306968958166
1,-0.389353153076485
1,-0.335949392998486
1,-0.334147377642303
1,-0.364438530962545
1,-0.37591812177191
1,-0.330612073989229
1,-0.418998195722963
1,-0.321245236332103
1,-0.347588958387604
1,-0.331776677846584
1,-0.395489786845715
1,-0.35410608135318
1,-0.296918668218346
1,-0.374932084649387
1,-0.319742795684086
1,-0.348830710901986
1,-0.313548822625265
1,-0.291094220943357
1,-0.347115846024508
1,-0.399000761156842
1,-0.398128565956185
1,-0.363436224448343
1,-0.300414562625114
1,-0.321814181302806
1,-0.290293517845882
1,-0.398579056488387
1,-0.3941714836375
1,-0.339675602290725
1,-0.357757909259746
1,-0.329636923628861
1,-0.304146708693985
1,-0.276724997788413
1,-0.315686521891116
1,-0.294260558307997
1,-0.389527693807729
1,-0.379887497075593
1,-0.305824827153856
1,-0.342927332060874
1,-0.383858245945554
1,-0.368510400230576
1,-0.429973254382638
1,-0.347757919006838
1,-0.293260405363348
1,-0.360605109175253
1,-0.320136796775785
1,-0.337117033305681
1,-0.279424302881552
1,-0.353772298997711
1,-0.345698743248605
1,-0.334113283521994
1,-0.366898541101634
1,-0.37136107220244
1,-0.378118837080137
1,-0.34970546344114
1,-0.355103670655815
1,-0.311951575785592
1,-0.345499160536157
1,-0.303855170196897
1,-0.358914102841567
1,-0.419427096213099
1,-0.378563598668571
1,-0.354399199333379
1,-0.325179001477679
1,-0.393526443224026
1,-0.315742307202157
1,-0.393978889660687
1,-0.356894201284163
1,-0.347053877654581
1,-0.389579166499246
1,-0.356785910884071
1,-0.309161106806691
1,-0.343639266861004
1,-0.361225735310832
1,-0.328499192437739
1,-0.359999039568187
1,-0.30578695323598
1,-0.348659873527581
1,-0.415526591120738
1,-0.406323148773659
1,-0.338268042736097
1,-0.406390114335593
1,-0.344782690007825
1,-0.293689471546998
1,-0.347154758979073
1,-0.339669613125629
1,-0.373984181580241
1,-0.370232238721393
1,-0.384440435263926
1,-0.389172722640268
1,-0.339341571922418
1,-0.348981670439706
1,-0.350524192348985
1,-0.322331552977481
1,-0.273766643034527
1,-0.331915353864297
1,-0.399281651550403
1,-0.323267618073025
1,-0.308462352805918
1,-0.385125353878614
1,-0.376208888773014
1,-0.395397189244378
1,-0.42101617910528
1,-0.341699626737316
1,-0.319974883263178
1,-0.279655406117797
1,-0.334843387646849
1,-0.378138798067369
1,-0.374679427274231
1,-0.353707322951003
1,-0.287055189656016
1,-0.347502295966315
1,-0.327258241716137
1,-0.329258160266946
1,-0.296560975077611
1,-0.353867537096001
1,-0.312922345654144
1,-0.367589527426112
1,-0.323302037214368
1,-0.335236076693271
1,-0.3586817561714
1,-0.359247608581761
1,-0.378102942157938
1,-0.380705016667328
1,-0.391372108223457
1,-0.369080021050365
1,-0.362763753550595
1,-0.339372106273416
1,-0.432950436209325
1,-0.386460714261517
1,-0.375327757959717
1,-0.348052836951432
1,-0.330277673000353
1,-0.413378612489659
1,-0.391358214988053
1,-0.33606866481049
1,-0.332801246735137
1,-0.419614454458426
1,-0.351994817765011
1,-0.341565368176489
1,-0.396865985158577
1,-0.312258288912958
1,-0.253242244378306
1,-0.320286563353697
1,-0.28317576128066
1,-0.330553283377512
1,-0.317299554484798
1,-0.376714127717619
1,-0.286648613996825
1,-0.343901940030165
1,-0.372577980874866
1,-0.345311031908537
1,-0.389159281821357
1,-0.276759371910813
1,-0.36973335010606
1,-0.33930858396635
1,-0.392249468887272
1,-0.32163274741422
1,-0.33385070444298
1,-0.337404967459676
1,-0.366135767368
1,-0.369752962248398
1,-0.406591446948255
1,-0.290059504405853
1,-0.357530443737375
1,-0.444201684086494
1,-0.34318584427502
1,-0.425509813986572
1,-0.309938932564137
1,-0.35236880440565
1,-0.292682569970182
