le,z_relative_mob,z_gini,county,gender,income_q,county_name,stateabbrv,statename,log_population,log_income,z_segregation_income,log_unemployment,z_uninsured,z_medicare_expenses,log_crime_rate,log_pct_black,log_pct_hispanic,z_obesity,z_smoking,z_exercise
40.83062744140625,1.9571952819824219,-0.21905969083309174,1001,F,Q1,Autauga,AL,Alabama,-0.610514690299242,0.012483596801757812,-0.19531583786010742,-0.24195623397827148,-0.6660909652709961,0.12132769569097229,0.3812789925254041,1.732298731803894,-0.691388726234436,1.033620834350586,1.355674147605896,-1.8603968620300293
44.01155090332031,1.9571952819824219,-0.21905969083309174,1001,F,Q2,Autauga,AL,Alabama,-0.610514690299242,0.012483596801757812,-0.19531583786010742,-0.24195623397827148,-0.6660909652709961,0.12132769569097229,0.3812789925254041,1.732298731803894,-0.691388726234436,-0.330260694026947,0.37345367670059204,-0.5925520062446594
44.33307647705078,1.9571952819824219,-0.21905969083309174,1001,F,Q3,Autauga,AL,Alabama,-0.610514690299242,0.012483596801757812,-0.19531583786010742,-0.24195623397827148,-0.6660909652709961,0.12132769569097229,0.3812789925254041,1.732298731803894,-0.691388726234436,-0.1033768355846405,0.06650977581739426,-0.5925520062446594
45.13439178466797,1.9571952819824219,-0.21905969083309174,1001,F,Q4,Autauga,AL,Alabama,-0.610514690299242,0.012483596801757812,-0.19531583786010742,-0.24195623397827148,-0.6660909652709961,0.12132769569097229,0.3812789925254041,1.732298731803894,-0.691388726234436,-1.3739264011383057,-0.7069885730743408,0.42172369360923767
33.23765563964844,1.9571952819824219,-0.21905969083309174,1001,M,Q1,Autauga,AL,Alabama,-0.610514690299242,0.012483596801757812,-0.19531583786010742,-0.24195623397827148,-0.6660909652709961,0.12132769569097229,0.3812789925254041,1.732298731803894,-0.691388726234436,1.033620834350586,1.355674147605896,-1.8603968620300293
37.23773956298828,1.9571952819824219,-0.21905969083309174,1001,M,Q2,Autauga,AL,Alabama,-0.610514690299242,0.012483596801757812,-0.19531583786010742,-0.24195623397827148,-0.6660909652709961,0.12132769569097229,0.3812789925254041,1.732298731803894,-0.691388726234436,-0.330260694026947,0.37345367670059204,-0.5925520062446594
39.58586883544922,1.9571952819824219,-0.21905969083309174,1001,M,Q3,Autauga,AL,Alabama,-0.610514690299242,0.012483596801757812,-0.19531583786010742,-0.24195623397827148,-0.6660909652709961,0.12132769569097229,0.3812789925254041,1.732298731803894,-0.691388726234436,-0.1033768355846405,0.06650977581739426,-0.5925520062446594
43.8621826171875,1.9571952819824219,-0.21905969083309174,1001,M,Q4,Autauga,AL,Alabama,-0.610514690299242,0.012483596801757812,-0.19531583786010742,-0.24195623397827148,-0.6660909652709961,0.12132769569097229,0.3812789925254041,1.732298731803894,-0.691388726234436,-1.3739264011383057,-0.7069885730743408,0.42172369360923767
43.411041259765625,-0.1790083944797516,1.0986382961273193,1003,F,Q1,Baldwin,AL,Alabama,0.5574033669419425,0.14419841766357422,-0.3157747983932495,-0.19663643836975098,0.42478057742118835,0.21350174686561818,0.1431221970236951,1.223361611366272,-0.46241307258605957,0.267025887966156,0.6828661561012268,-1.1040122509002686
45.74382019042969,-0.1790083944797516,1.0986382961273193,1003,F,Q2,Baldwin,AL,Alabama,0.5574033669419425,0.14419841766357422,-0.3157747983932495,-0.19663643836975098,0.42478057742118835,0.21350174686561818,0.1431221970236951,1.223361611366272,-0.46241307258605957,-0.08746069669723511,0.32608771324157715,0.03130796179175377
46.41459655761719,-0.1790083944797516,1.0986382961273193,1003,F,Q3,Baldwin,AL,Alabama,0.5574033669419425,0.14419841766357422,-0.3157747983932495,-0.19663643836975098,0.42478057742118835,0.21350174686561818,0.1431221970236951,1.223361611366272,-0.46241307258605957,-0.7771532535552979,-0.35498714447021484,0.6879708170890808
48.339393615722656,-0.1790083944797516,1.0986382961273193,1003,F,Q4,Baldwin,AL,Alabama,0.5574033669419425,0.14419841766357422,-0.3157747983932495,-0.19663643836975098,0.42478057742118835,0.21350174686561818,0.1431221970236951,1.223361611366272,-0.46241307258605957,-1.3498847484588623,-0.25673192739486694,0.7105106115341187
36.30170440673828,-0.1790083944797516,1.0986382961273193,1003,M,Q1,Baldwin,AL,Alabama,0.5574033669419425,0.14419841766357422,-0.3157747983932495,-0.19663643836975098,0.42478057742118835,0.21350174686561818,0.1431221970236951,1.223361611366272,-0.46241307258605957,0.267025887966156,0.6828661561012268,-1.1040122509002686
40.20268249511719,-0.1790083944797516,1.0986382961273193,1003,M,Q2,Baldwin,AL,Alabama,0.5574033669419425,0.14419841766357422,-0.3157747983932495,-0.19663643836975098,0.42478057742118835,0.21350174686561818,0.1431221970236951,1.223361611366272,-0.46241307258605957,-0.08746069669723511,0.32608771324157715,0.03130796179175377
42.27976989746094,-0.1790083944797516,1.0986382961273193,1003,M,Q3,Baldwin,AL,Alabama,0.5574033669419425,0.14419841766357422,-0.3157747983932495,-0.19663643836975098,0.42478057742118835,0.21350174686561818,0.1431221970236951,1.223361611366272,-0.46241307258605957,-0.7771532535552979,-0.35498714447021484,0.6879708170890808
44.75025177001953,-0.1790083944797516,1.0986382961273193,1003,M,Q4,Baldwin,AL,Alabama,0.5574033669419425,0.14419841766357422,-0.3157747983932495,-0.19663643836975098,0.42478057742118835,0.21350174686561818,0.1431221970236951,1.223361611366272,-0.46241307258605957,-1.3498847484588623,-0.25673192739486694,0.7105106115341187
